timestamp,datetime,team,side,probability,week,date,away_team,home_team
1763424008,2025-11-18 00:00:08,Arizona Cardinals,home,0.5,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763424011,2025-11-18 00:00:11,Jacksonville Jaguars,away,0.5,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763467210,2025-11-18 12:00:10,Arizona Cardinals,home,0.5,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763467216,2025-11-18 12:00:16,Jacksonville Jaguars,away,0.5,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763510409,2025-11-19 00:00:09,Arizona Cardinals,home,0.51,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763510414,2025-11-19 00:00:14,Jacksonville Jaguars,away,0.49,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763553611,2025-11-19 12:00:11,Arizona Cardinals,home,0.525,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763553618,2025-11-19 12:00:18,Jacksonville Jaguars,away,0.475,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763596807,2025-11-20 00:00:07,Arizona Cardinals,home,0.55,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763596810,2025-11-20 00:00:10,Jacksonville Jaguars,away,0.45,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763640008,2025-11-20 12:00:08,Arizona Cardinals,home,0.485,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763640011,2025-11-20 12:00:11,Jacksonville Jaguars,away,0.515,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763683209,2025-11-21 00:00:09,Arizona Cardinals,home,0.49,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763683216,2025-11-21 00:00:16,Jacksonville Jaguars,away,0.51,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763726408,2025-11-21 12:00:08,Arizona Cardinals,home,0.44,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763726411,2025-11-21 12:00:11,Jacksonville Jaguars,away,0.56,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763769608,2025-11-22 00:00:08,Arizona Cardinals,home,0.485,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763769611,2025-11-22 00:00:11,Jacksonville Jaguars,away,0.515,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763812808,2025-11-22 12:00:08,Arizona Cardinals,home,0.485,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763812811,2025-11-22 12:00:11,Jacksonville Jaguars,away,0.515,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763856008,2025-11-23 00:00:08,Arizona Cardinals,home,0.495,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763856011,2025-11-23 00:00:11,Jacksonville Jaguars,away,0.505,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763899208,2025-11-23 12:00:08,Arizona Cardinals,home,0.46,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763899211,2025-11-23 12:00:11,Jacksonville Jaguars,away,0.54,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763942411,2025-11-24 00:00:11,Arizona Cardinals,home,0.9995,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
1763942412,2025-11-24 00:00:12,Jacksonville Jaguars,away,0.0005,12,2025-11-23,Jacksonville Jaguars,Arizona Cardinals
