timestamp,datetime,team,side,probability,week,date,away_team,home_team
1762084806,2025-11-02 12:00:06,Houston Texans,home,0.58,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762084823,2025-11-02 12:00:23,Jacksonville Jaguars,away,0.42,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762128005,2025-11-03 00:00:05,Houston Texans,home,0.465,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762128019,2025-11-03 00:00:19,Jacksonville Jaguars,away,0.535,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762171206,2025-11-03 12:00:06,Houston Texans,home,0.515,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762171223,2025-11-03 12:00:23,Jacksonville Jaguars,away,0.485,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762214406,2025-11-04 00:00:06,Houston Texans,home,0.525,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762214418,2025-11-04 00:00:18,Jacksonville Jaguars,away,0.475,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762257607,2025-11-04 12:00:07,Houston Texans,home,0.525,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762257625,2025-11-04 12:00:25,Jacksonville Jaguars,away,0.475,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762300806,2025-11-05 00:00:06,Houston Texans,home,0.525,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762300821,2025-11-05 00:00:21,Jacksonville Jaguars,away,0.475,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762344007,2025-11-05 12:00:07,Houston Texans,home,0.545,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762344027,2025-11-05 12:00:27,Jacksonville Jaguars,away,0.455,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762387204,2025-11-06 00:00:04,Houston Texans,home,0.485,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762387212,2025-11-06 00:00:12,Jacksonville Jaguars,away,0.515,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762430408,2025-11-06 12:00:08,Houston Texans,home,0.485,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762430428,2025-11-06 12:00:28,Jacksonville Jaguars,away,0.515,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762473606,2025-11-07 00:00:06,Houston Texans,home,0.485,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762473620,2025-11-07 00:00:20,Jacksonville Jaguars,away,0.515,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762516809,2025-11-07 12:00:09,Houston Texans,home,0.495,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762516828,2025-11-07 12:00:28,Jacksonville Jaguars,away,0.505,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762560006,2025-11-08 00:00:06,Houston Texans,home,0.515,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762560014,2025-11-08 00:00:14,Jacksonville Jaguars,away,0.485,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762603221,2025-11-08 12:00:21,Houston Texans,home,0.505,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762603238,2025-11-08 12:00:38,Jacksonville Jaguars,away,0.495,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762646419,2025-11-09 00:00:19,Houston Texans,home,0.515,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762646432,2025-11-09 00:00:32,Jacksonville Jaguars,away,0.485,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762689606,2025-11-09 12:00:06,Houston Texans,home,0.505,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762689624,2025-11-09 12:00:24,Jacksonville Jaguars,away,0.495,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762732806,2025-11-10 00:00:06,Houston Texans,home,0.9995,10,2025-11-09,Jacksonville Jaguars,Houston Texans
1762732814,2025-11-10 00:00:14,Jacksonville Jaguars,away,0.0005,10,2025-11-09,Jacksonville Jaguars,Houston Texans
