timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765843216,2025-12-16 00:00:16,Indianapolis Colts,home,0.48,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1765843218,2025-12-16 00:00:18,Jacksonville Jaguars,away,0.52,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1765886429,2025-12-16 12:00:29,Indianapolis Colts,home,0.48,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1765886432,2025-12-16 12:00:32,Jacksonville Jaguars,away,0.52,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1765929613,2025-12-17 00:00:13,Indianapolis Colts,home,0.36,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1765929615,2025-12-17 00:00:15,Jacksonville Jaguars,away,0.64,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1765929635,2025-12-17 00:00:35,Indianapolis Colts,home,0.36,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1765929636,2025-12-17 00:00:36,Jacksonville Jaguars,away,0.64,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1765972821,2025-12-17 12:00:21,Indianapolis Colts,home,0.355,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1765972826,2025-12-17 12:00:26,Jacksonville Jaguars,away,0.645,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766016024,2025-12-18 00:00:24,Indianapolis Colts,home,0.355,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766016026,2025-12-18 00:00:26,Jacksonville Jaguars,away,0.645,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766059215,2025-12-18 12:00:15,Indianapolis Colts,home,0.35,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766059217,2025-12-18 12:00:17,Jacksonville Jaguars,away,0.65,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766102415,2025-12-19 00:00:15,Indianapolis Colts,home,0.35,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766102417,2025-12-19 00:00:17,Jacksonville Jaguars,away,0.65,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766145617,2025-12-19 12:00:17,Indianapolis Colts,home,0.35,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766145619,2025-12-19 12:00:19,Jacksonville Jaguars,away,0.65,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766188815,2025-12-20 00:00:15,Indianapolis Colts,home,0.35,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766188817,2025-12-20 00:00:17,Jacksonville Jaguars,away,0.65,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766232017,2025-12-20 12:00:17,Indianapolis Colts,home,0.35,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766232020,2025-12-20 12:00:20,Jacksonville Jaguars,away,0.65,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766275215,2025-12-21 00:00:15,Indianapolis Colts,home,0.35,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766275217,2025-12-21 00:00:17,Jacksonville Jaguars,away,0.65,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766318415,2025-12-21 12:00:15,Indianapolis Colts,home,0.35,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766318418,2025-12-21 12:00:18,Jacksonville Jaguars,away,0.65,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766361615,2025-12-22 00:00:15,Indianapolis Colts,home,0.305,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766361617,2025-12-22 00:00:17,Jacksonville Jaguars,away,0.695,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766404815,2025-12-22 12:00:15,Indianapolis Colts,home,0.265,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766404817,2025-12-22 12:00:17,Jacksonville Jaguars,away,0.735,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766448017,2025-12-23 00:00:17,Indianapolis Colts,home,0.25,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766448019,2025-12-23 00:00:19,Jacksonville Jaguars,away,0.75,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766491219,2025-12-23 12:00:19,Indianapolis Colts,home,0.28,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766491222,2025-12-23 12:00:22,Jacksonville Jaguars,away,0.72,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766534417,2025-12-24 00:00:17,Indianapolis Colts,home,0.28,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766534419,2025-12-24 00:00:19,Jacksonville Jaguars,away,0.72,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766577616,2025-12-24 12:00:16,Indianapolis Colts,home,0.275,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766577619,2025-12-24 12:00:19,Jacksonville Jaguars,away,0.725,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766620826,2025-12-25 00:00:26,Indianapolis Colts,home,0.275,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766620829,2025-12-25 00:00:29,Jacksonville Jaguars,away,0.725,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766664017,2025-12-25 12:00:17,Indianapolis Colts,home,0.275,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766664020,2025-12-25 12:00:20,Jacksonville Jaguars,away,0.725,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766707212,2025-12-26 00:00:12,Indianapolis Colts,home,0.285,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766707214,2025-12-26 00:00:14,Jacksonville Jaguars,away,0.715,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766750415,2025-12-26 12:00:15,Indianapolis Colts,home,0.28,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766750417,2025-12-26 12:00:17,Jacksonville Jaguars,away,0.72,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766793616,2025-12-27 00:00:16,Indianapolis Colts,home,0.295,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766793618,2025-12-27 00:00:18,Jacksonville Jaguars,away,0.705,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766836817,2025-12-27 12:00:17,Indianapolis Colts,home,0.295,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766836818,2025-12-27 12:00:18,Jacksonville Jaguars,away,0.705,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766880017,2025-12-28 00:00:17,Indianapolis Colts,home,0.305,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
1766880018,2025-12-28 00:00:18,Jacksonville Jaguars,away,0.695,17,2025-12-28,Jacksonville Jaguars,Indianapolis Colts
