timestamp,datetime,team,side,probability,week,date,away_team,home_team
1766361620,2025-12-22 00:00:20,Kansas City Chiefs,away,0.545,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766361620,2025-12-22 00:00:20,Las Vegas Raiders,home,0.455,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766404820,2025-12-22 12:00:20,Las Vegas Raiders,home,0.47,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766404821,2025-12-22 12:00:21,Kansas City Chiefs,away,0.53,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766448022,2025-12-23 00:00:22,Las Vegas Raiders,home,0.465,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766448023,2025-12-23 00:00:23,Kansas City Chiefs,away,0.535,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766491226,2025-12-23 12:00:26,Kansas City Chiefs,away,0.525,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766491226,2025-12-23 12:00:26,Las Vegas Raiders,home,0.475,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766534422,2025-12-24 00:00:22,Kansas City Chiefs,away,0.55,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766534422,2025-12-24 00:00:22,Las Vegas Raiders,home,0.45,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766577622,2025-12-24 12:00:22,Las Vegas Raiders,home,0.435,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766577623,2025-12-24 12:00:23,Kansas City Chiefs,away,0.565,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766620832,2025-12-25 00:00:32,Las Vegas Raiders,home,0.45,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766620832,2025-12-25 00:00:32,Kansas City Chiefs,away,0.55,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766664023,2025-12-25 12:00:23,Las Vegas Raiders,home,0.54,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766664024,2025-12-25 12:00:24,Kansas City Chiefs,away,0.46,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766707216,2025-12-26 00:00:16,Kansas City Chiefs,away,0.425,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766707216,2025-12-26 00:00:16,Las Vegas Raiders,home,0.575,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
1766750420,2025-12-26 12:00:20,Las Vegas Raiders,home,0.585,18,2026-01-04,Kansas City Chiefs,Las Vegas Raiders
