timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765843213,2025-12-16 00:00:13,Kansas City Chiefs,away,0.51,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1765843215,2025-12-16 00:00:15,Tennessee Titans,home,0.49,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1765886425,2025-12-16 12:00:25,Kansas City Chiefs,away,0.56,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1765886428,2025-12-16 12:00:28,Tennessee Titans,home,0.44,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1765929610,2025-12-17 00:00:10,Kansas City Chiefs,away,0.52,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1765929612,2025-12-17 00:00:12,Tennessee Titans,home,0.48,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1765929633,2025-12-17 00:00:33,Kansas City Chiefs,away,0.52,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1765929634,2025-12-17 00:00:34,Tennessee Titans,home,0.48,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1765972814,2025-12-17 12:00:14,Kansas City Chiefs,away,0.525,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1765972819,2025-12-17 12:00:19,Tennessee Titans,home,0.475,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766016022,2025-12-18 00:00:22,Kansas City Chiefs,away,0.525,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766016023,2025-12-18 00:00:23,Tennessee Titans,home,0.475,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766059213,2025-12-18 12:00:13,Kansas City Chiefs,away,0.53,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766059214,2025-12-18 12:00:14,Tennessee Titans,home,0.47,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766102413,2025-12-19 00:00:13,Kansas City Chiefs,away,0.53,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766102414,2025-12-19 00:00:14,Tennessee Titans,home,0.47,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766145615,2025-12-19 12:00:15,Kansas City Chiefs,away,0.53,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766145616,2025-12-19 12:00:16,Tennessee Titans,home,0.47,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766188813,2025-12-20 00:00:13,Kansas City Chiefs,away,0.53,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766188814,2025-12-20 00:00:14,Tennessee Titans,home,0.47,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766232015,2025-12-20 12:00:15,Kansas City Chiefs,away,0.55,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766232016,2025-12-20 12:00:16,Tennessee Titans,home,0.45,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766275213,2025-12-21 00:00:13,Kansas City Chiefs,away,0.565,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766275215,2025-12-21 00:00:15,Tennessee Titans,home,0.435,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766318412,2025-12-21 12:00:12,Kansas City Chiefs,away,0.575,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
1766318414,2025-12-21 12:00:14,Tennessee Titans,home,0.425,16,2025-12-21,Kansas City Chiefs,Tennessee Titans
