timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765929607,2025-12-17 00:00:07,Los Angeles Rams,away,0.63,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1765929617,2025-12-17 00:00:17,Atlanta Falcons,home,0.37,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1765929632,2025-12-17 00:00:32,Los Angeles Rams,away,0.63,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1765929637,2025-12-17 00:00:37,Atlanta Falcons,home,0.37,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1765972811,2025-12-17 12:00:11,Los Angeles Rams,away,0.77,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1765972832,2025-12-17 12:00:32,Atlanta Falcons,home,0.23,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766016020,2025-12-18 00:00:20,Los Angeles Rams,away,0.775,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766016028,2025-12-18 00:00:28,Atlanta Falcons,home,0.225,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766059211,2025-12-18 12:00:11,Los Angeles Rams,away,0.815,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766059219,2025-12-18 12:00:19,Atlanta Falcons,home,0.185,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766102411,2025-12-19 00:00:11,Los Angeles Rams,away,0.82,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766102419,2025-12-19 00:00:19,Atlanta Falcons,home,0.18,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766145612,2025-12-19 12:00:12,Los Angeles Rams,away,0.825,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766145621,2025-12-19 12:00:21,Atlanta Falcons,home,0.175,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766188811,2025-12-20 00:00:11,Los Angeles Rams,away,0.825,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766188819,2025-12-20 00:00:19,Atlanta Falcons,home,0.175,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766232012,2025-12-20 12:00:12,Los Angeles Rams,away,0.81,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766232023,2025-12-20 12:00:23,Atlanta Falcons,home,0.19,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766275211,2025-12-21 00:00:11,Los Angeles Rams,away,0.805,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766275220,2025-12-21 00:00:20,Atlanta Falcons,home,0.195,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766318410,2025-12-21 12:00:10,Los Angeles Rams,away,0.8,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766318420,2025-12-21 12:00:20,Atlanta Falcons,home,0.2,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766361610,2025-12-22 00:00:10,Los Angeles Rams,away,0.825,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766361619,2025-12-22 00:00:19,Atlanta Falcons,home,0.175,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766404810,2025-12-22 12:00:10,Los Angeles Rams,away,0.795,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766404819,2025-12-22 12:00:19,Atlanta Falcons,home,0.205,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766448012,2025-12-23 00:00:12,Los Angeles Rams,away,0.795,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
1766448022,2025-12-23 00:00:22,Atlanta Falcons,home,0.205,17,2025-12-29,Los Angeles Rams,Atlanta Falcons
