timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760270412,2025-10-12 12:00:12,Los Angeles Rams,away,0.605,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760270412,2025-10-12 12:00:12,Jacksonville Jaguars,home,0.395,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760313605,2025-10-13 00:00:05,Los Angeles Rams,away,0.585,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760313605,2025-10-13 00:00:05,Jacksonville Jaguars,home,0.415,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760356812,2025-10-13 12:00:12,Jacksonville Jaguars,home,0.415,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760356825,2025-10-13 12:00:25,Los Angeles Rams,away,0.585,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760400006,2025-10-14 00:00:06,Los Angeles Rams,away,0.58,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760400013,2025-10-14 00:00:13,Jacksonville Jaguars,home,0.42,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760443218,2025-10-14 12:00:18,Jacksonville Jaguars,home,0.415,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760443220,2025-10-14 12:00:20,Los Angeles Rams,away,0.585,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760486403,2025-10-15 00:00:03,Los Angeles Rams,away,0.58,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760486413,2025-10-15 00:00:13,Jacksonville Jaguars,home,0.42,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760529612,2025-10-15 12:00:12,Los Angeles Rams,away,0.585,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760529624,2025-10-15 12:00:24,Jacksonville Jaguars,home,0.415,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760572809,2025-10-16 00:00:09,Jacksonville Jaguars,home,0.415,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760572817,2025-10-16 00:00:17,Los Angeles Rams,away,0.585,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760616028,2025-10-16 12:00:28,Jacksonville Jaguars,home,0.415,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760616028,2025-10-16 12:00:28,Los Angeles Rams,away,0.585,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760659204,2025-10-17 00:00:04,Jacksonville Jaguars,home,0.405,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760659211,2025-10-17 00:00:11,Los Angeles Rams,away,0.595,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760702407,2025-10-17 12:00:07,Jacksonville Jaguars,home,0.405,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760702409,2025-10-17 12:00:09,Los Angeles Rams,away,0.595,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760745613,2025-10-18 00:00:13,Jacksonville Jaguars,home,0.395,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760745614,2025-10-18 00:00:14,Los Angeles Rams,away,0.605,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760788821,2025-10-18 12:00:21,Los Angeles Rams,away,0.605,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760788827,2025-10-18 12:00:27,Jacksonville Jaguars,home,0.395,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760832009,2025-10-19 00:00:09,Los Angeles Rams,away,0.615,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760832014,2025-10-19 00:00:14,Jacksonville Jaguars,home,0.385,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760875205,2025-10-19 12:00:05,Jacksonville Jaguars,home,0.395,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
1760875219,2025-10-19 12:00:19,Los Angeles Rams,away,0.605,7,2025-10-19,Los Angeles Rams,Jacksonville Jaguars
