timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757332805,2025-09-08 12:00:05,Los Angeles Chargers,away,0.62,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757332805,2025-09-08 12:00:05,Las Vegas Raiders,home,0.38,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757376016,2025-09-09 00:00:16,Las Vegas Raiders,home,0.37,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757376016,2025-09-09 00:00:16,Los Angeles Chargers,away,0.63,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757419228,2025-09-09 12:00:28,Las Vegas Raiders,home,0.37,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757419229,2025-09-09 12:00:29,Los Angeles Chargers,away,0.63,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757462412,2025-09-10 00:00:12,Los Angeles Chargers,away,0.635,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757462412,2025-09-10 00:00:12,Las Vegas Raiders,home,0.365,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757505619,2025-09-10 12:00:19,Las Vegas Raiders,home,0.365,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757505621,2025-09-10 12:00:21,Los Angeles Chargers,away,0.635,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757548810,2025-09-11 00:00:10,Las Vegas Raiders,home,0.375,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757548813,2025-09-11 00:00:13,Los Angeles Chargers,away,0.625,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757592002,2025-09-11 12:00:02,Las Vegas Raiders,home,0.375,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757592014,2025-09-11 12:00:14,Los Angeles Chargers,away,0.625,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757635203,2025-09-12 00:00:03,Los Angeles Chargers,away,0.625,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757635221,2025-09-12 00:00:21,Las Vegas Raiders,home,0.375,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757678429,2025-09-12 12:00:29,Las Vegas Raiders,home,0.375,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757678435,2025-09-12 12:00:35,Los Angeles Chargers,away,0.625,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757721608,2025-09-13 00:00:08,Las Vegas Raiders,home,0.38,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757721610,2025-09-13 00:00:10,Los Angeles Chargers,away,0.62,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757764816,2025-09-13 12:00:16,Los Angeles Chargers,away,0.63,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757764816,2025-09-13 12:00:16,Las Vegas Raiders,home,0.37,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757808012,2025-09-14 00:00:12,Los Angeles Chargers,away,0.625,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757808015,2025-09-14 00:00:15,Las Vegas Raiders,home,0.375,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757851213,2025-09-14 12:00:13,Las Vegas Raiders,home,0.37,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757851217,2025-09-14 12:00:17,Los Angeles Chargers,away,0.63,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757894409,2025-09-15 00:00:09,Las Vegas Raiders,home,0.375,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757894410,2025-09-15 00:00:10,Los Angeles Chargers,away,0.625,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757937610,2025-09-15 12:00:10,Las Vegas Raiders,home,0.375,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757937610,2025-09-15 12:00:10,Los Angeles Chargers,away,0.625,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757980811,2025-09-16 00:00:11,Las Vegas Raiders,home,0.365,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
1757980816,2025-09-16 00:00:16,Los Angeles Chargers,away,0.635,2,2025-09-15,Los Angeles Chargers,Las Vegas Raiders
