timestamp,datetime,team,side,probability,week,date,away_team,home_team
1758456007,2025-09-21 12:00:07,New York Giants,home,0.285,4,2025-09-28,Los Angeles Chargers,New York Giants
1758456022,2025-09-21 12:00:22,Los Angeles Chargers,away,0.715,4,2025-09-28,Los Angeles Chargers,New York Giants
1758499206,2025-09-22 00:00:06,New York Giants,home,0.285,4,2025-09-28,Los Angeles Chargers,New York Giants
1758499217,2025-09-22 00:00:17,Los Angeles Chargers,away,0.715,4,2025-09-28,Los Angeles Chargers,New York Giants
1758542420,2025-09-22 12:00:20,New York Giants,home,0.285,4,2025-09-28,Los Angeles Chargers,New York Giants
1758542425,2025-09-22 12:00:25,Los Angeles Chargers,away,0.715,4,2025-09-28,Los Angeles Chargers,New York Giants
1758585602,2025-09-23 00:00:02,Los Angeles Chargers,away,0.725,4,2025-09-28,Los Angeles Chargers,New York Giants
1758585610,2025-09-23 00:00:10,New York Giants,home,0.275,4,2025-09-28,Los Angeles Chargers,New York Giants
1758628805,2025-09-23 12:00:05,Los Angeles Chargers,away,0.725,4,2025-09-28,Los Angeles Chargers,New York Giants
1758628817,2025-09-23 12:00:17,New York Giants,home,0.275,4,2025-09-28,Los Angeles Chargers,New York Giants
1758672003,2025-09-24 00:00:03,Los Angeles Chargers,away,0.725,4,2025-09-28,Los Angeles Chargers,New York Giants
1758672016,2025-09-24 00:00:16,New York Giants,home,0.275,4,2025-09-28,Los Angeles Chargers,New York Giants
1758715216,2025-09-24 12:00:16,Los Angeles Chargers,away,0.735,4,2025-09-28,Los Angeles Chargers,New York Giants
1758715216,2025-09-24 12:00:16,New York Giants,home,0.265,4,2025-09-28,Los Angeles Chargers,New York Giants
1758758407,2025-09-25 00:00:07,Los Angeles Chargers,away,0.735,4,2025-09-28,Los Angeles Chargers,New York Giants
1758758407,2025-09-25 00:00:07,New York Giants,home,0.265,4,2025-09-28,Los Angeles Chargers,New York Giants
1758801604,2025-09-25 12:00:04,Los Angeles Chargers,away,0.735,4,2025-09-28,Los Angeles Chargers,New York Giants
1758801618,2025-09-25 12:00:18,New York Giants,home,0.265,4,2025-09-28,Los Angeles Chargers,New York Giants
1758844813,2025-09-26 00:00:13,Los Angeles Chargers,away,0.725,4,2025-09-28,Los Angeles Chargers,New York Giants
1758844813,2025-09-26 00:00:13,New York Giants,home,0.275,4,2025-09-28,Los Angeles Chargers,New York Giants
1758888006,2025-09-26 12:00:06,New York Giants,home,0.265,4,2025-09-28,Los Angeles Chargers,New York Giants
1758888019,2025-09-26 12:00:19,Los Angeles Chargers,away,0.735,4,2025-09-28,Los Angeles Chargers,New York Giants
1758931205,2025-09-27 00:00:05,New York Giants,home,0.275,4,2025-09-28,Los Angeles Chargers,New York Giants
1758931211,2025-09-27 00:00:11,Los Angeles Chargers,away,0.725,4,2025-09-28,Los Angeles Chargers,New York Giants
1758974412,2025-09-27 12:00:12,New York Giants,home,0.27,4,2025-09-28,Los Angeles Chargers,New York Giants
1758974418,2025-09-27 12:00:18,Los Angeles Chargers,away,0.73,4,2025-09-28,Los Angeles Chargers,New York Giants
1759017610,2025-09-28 00:00:10,New York Giants,home,0.27,4,2025-09-28,Los Angeles Chargers,New York Giants
1759017615,2025-09-28 00:00:15,Los Angeles Chargers,away,0.73,4,2025-09-28,Los Angeles Chargers,New York Giants
1759060810,2025-09-28 12:00:10,Los Angeles Chargers,away,0.735,4,2025-09-28,Los Angeles Chargers,New York Giants
1759060812,2025-09-28 12:00:12,New York Giants,home,0.265,4,2025-09-28,Los Angeles Chargers,New York Giants
