timestamp,datetime,team,side,probability,week,date,away_team,home_team
1762084816,2025-11-02 12:00:16,Denver Broncos,home,0.73,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762084826,2025-11-02 12:00:26,Las Vegas Raiders,away,0.27,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762128012,2025-11-03 00:00:12,Denver Broncos,home,0.83,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762128020,2025-11-03 00:00:20,Las Vegas Raiders,away,0.17,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762171215,2025-11-03 12:00:15,Denver Broncos,home,0.815,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762171226,2025-11-03 12:00:26,Las Vegas Raiders,away,0.185,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762214413,2025-11-04 00:00:13,Denver Broncos,home,0.815,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762214420,2025-11-04 00:00:20,Las Vegas Raiders,away,0.185,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762257617,2025-11-04 12:00:17,Denver Broncos,home,0.805,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762257628,2025-11-04 12:00:28,Las Vegas Raiders,away,0.195,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762300813,2025-11-05 00:00:13,Denver Broncos,home,0.815,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762300822,2025-11-05 00:00:22,Las Vegas Raiders,away,0.185,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762344018,2025-11-05 12:00:18,Denver Broncos,home,0.805,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762344029,2025-11-05 12:00:29,Las Vegas Raiders,away,0.195,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762387209,2025-11-06 00:00:09,Denver Broncos,home,0.815,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762387214,2025-11-06 00:00:14,Las Vegas Raiders,away,0.185,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762430419,2025-11-06 12:00:19,Denver Broncos,home,0.815,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762430432,2025-11-06 12:00:32,Las Vegas Raiders,away,0.185,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762473614,2025-11-07 00:00:14,Denver Broncos,home,0.805,10,2025-11-06,Las Vegas Raiders,Denver Broncos
1762473622,2025-11-07 00:00:22,Las Vegas Raiders,away,0.195,10,2025-11-06,Las Vegas Raiders,Denver Broncos
