timestamp,datetime,team,side,probability,week,date,away_team,home_team
1756641621,2025-08-31 12:00:21,Las Vegas Raiders,away,0.415,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756641623,2025-08-31 12:00:23,New England Patriots,home,0.585,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756684809,2025-09-01 00:00:09,Las Vegas Raiders,away,0.415,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756684810,2025-09-01 00:00:10,New England Patriots,home,0.585,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756728002,2025-09-01 12:00:02,Las Vegas Raiders,away,0.415,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756728026,2025-09-01 12:00:26,New England Patriots,home,0.585,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756771203,2025-09-02 00:00:03,New England Patriots,home,0.58,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756771207,2025-09-02 00:00:07,Las Vegas Raiders,away,0.42,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756814407,2025-09-02 12:00:07,New England Patriots,home,0.58,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756814423,2025-09-02 12:00:23,Las Vegas Raiders,away,0.42,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756857611,2025-09-03 00:00:11,Las Vegas Raiders,away,0.415,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756857614,2025-09-03 00:00:14,New England Patriots,home,0.585,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756900824,2025-09-03 12:00:24,New England Patriots,home,0.575,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756900827,2025-09-03 12:00:27,Las Vegas Raiders,away,0.425,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756944011,2025-09-04 00:00:11,New England Patriots,home,0.575,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756944013,2025-09-04 00:00:13,Las Vegas Raiders,away,0.425,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756987208,2025-09-04 12:00:08,New England Patriots,home,0.575,1,2025-09-07,Las Vegas Raiders,New England Patriots
1756987218,2025-09-04 12:00:18,Las Vegas Raiders,away,0.425,1,2025-09-07,Las Vegas Raiders,New England Patriots
1757030408,2025-09-05 00:00:08,Las Vegas Raiders,away,0.435,1,2025-09-07,Las Vegas Raiders,New England Patriots
1757030414,2025-09-05 00:00:14,New England Patriots,home,0.565,1,2025-09-07,Las Vegas Raiders,New England Patriots
1757073610,2025-09-05 12:00:10,Las Vegas Raiders,away,0.435,1,2025-09-07,Las Vegas Raiders,New England Patriots
1757073627,2025-09-05 12:00:27,New England Patriots,home,0.565,1,2025-09-07,Las Vegas Raiders,New England Patriots
1757116812,2025-09-06 00:00:12,New England Patriots,home,0.555,1,2025-09-07,Las Vegas Raiders,New England Patriots
1757116820,2025-09-06 00:00:20,Las Vegas Raiders,away,0.445,1,2025-09-07,Las Vegas Raiders,New England Patriots
1757160028,2025-09-06 12:00:28,New England Patriots,home,0.56,1,2025-09-07,Las Vegas Raiders,New England Patriots
1757160030,2025-09-06 12:00:30,Las Vegas Raiders,away,0.44,1,2025-09-07,Las Vegas Raiders,New England Patriots
1757203214,2025-09-07 00:00:14,New England Patriots,home,0.56,1,2025-09-07,Las Vegas Raiders,New England Patriots
1757203214,2025-09-07 00:00:14,Las Vegas Raiders,away,0.44,1,2025-09-07,Las Vegas Raiders,New England Patriots
1757246415,2025-09-07 12:00:15,New England Patriots,home,0.565,1,2025-09-07,Las Vegas Raiders,New England Patriots
1757246425,2025-09-07 12:00:25,Las Vegas Raiders,away,0.435,1,2025-09-07,Las Vegas Raiders,New England Patriots
