timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760875213,2025-10-19 12:00:13,Atlanta Falcons,home,0.685,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1760875215,2025-10-19 12:00:15,Miami Dolphins,away,0.315,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1760918418,2025-10-20 00:00:18,Atlanta Falcons,home,0.745,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1760918419,2025-10-20 00:00:19,Miami Dolphins,away,0.255,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1760961603,2025-10-20 12:00:03,Miami Dolphins,away,0.235,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1760961627,2025-10-20 12:00:27,Atlanta Falcons,home,0.765,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761004808,2025-10-21 00:00:08,Atlanta Falcons,home,0.76,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761004810,2025-10-21 00:00:10,Miami Dolphins,away,0.24,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761048018,2025-10-21 12:00:18,Atlanta Falcons,home,0.765,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761048022,2025-10-21 12:00:22,Miami Dolphins,away,0.235,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761091211,2025-10-22 00:00:11,Atlanta Falcons,home,0.77,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761091218,2025-10-22 00:00:18,Miami Dolphins,away,0.23,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761134414,2025-10-22 12:00:14,Atlanta Falcons,home,0.775,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761134423,2025-10-22 12:00:23,Miami Dolphins,away,0.225,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761177607,2025-10-23 00:00:07,Atlanta Falcons,home,0.78,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761177610,2025-10-23 00:00:10,Miami Dolphins,away,0.22,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761220809,2025-10-23 12:00:09,Atlanta Falcons,home,0.775,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761220816,2025-10-23 12:00:16,Miami Dolphins,away,0.225,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761264010,2025-10-24 00:00:10,Atlanta Falcons,home,0.785,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761264015,2025-10-24 00:00:15,Miami Dolphins,away,0.215,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761307210,2025-10-24 12:00:10,Atlanta Falcons,home,0.78,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761307219,2025-10-24 12:00:19,Miami Dolphins,away,0.22,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761350410,2025-10-25 00:00:10,Atlanta Falcons,home,0.78,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761350414,2025-10-25 00:00:14,Miami Dolphins,away,0.22,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761393612,2025-10-25 12:00:12,Atlanta Falcons,home,0.785,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761393619,2025-10-25 12:00:19,Miami Dolphins,away,0.215,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761436811,2025-10-26 00:00:11,Atlanta Falcons,home,0.77,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761436816,2025-10-26 00:00:16,Miami Dolphins,away,0.23,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761480012,2025-10-26 12:00:12,Atlanta Falcons,home,0.765,8,2025-10-26,Miami Dolphins,Atlanta Falcons
1761480021,2025-10-26 12:00:21,Miami Dolphins,away,0.235,8,2025-10-26,Miami Dolphins,Atlanta Falcons
