timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757851208,2025-09-14 12:00:08,Miami Dolphins,away,0.18,3,2025-09-18,Miami Dolphins,Buffalo Bills
1757851220,2025-09-14 12:00:20,Buffalo Bills,home,0.82,3,2025-09-18,Miami Dolphins,Buffalo Bills
1757894407,2025-09-15 00:00:07,Miami Dolphins,away,0.125,3,2025-09-18,Miami Dolphins,Buffalo Bills
1757894411,2025-09-15 00:00:11,Buffalo Bills,home,0.875,3,2025-09-18,Miami Dolphins,Buffalo Bills
1757937614,2025-09-15 12:00:14,Miami Dolphins,away,0.125,3,2025-09-18,Miami Dolphins,Buffalo Bills
1757937623,2025-09-15 12:00:23,Buffalo Bills,home,0.875,3,2025-09-18,Miami Dolphins,Buffalo Bills
1757980814,2025-09-16 00:00:14,Miami Dolphins,away,0.13,3,2025-09-18,Miami Dolphins,Buffalo Bills
1757980819,2025-09-16 00:00:19,Buffalo Bills,home,0.87,3,2025-09-18,Miami Dolphins,Buffalo Bills
1758024012,2025-09-16 12:00:12,Miami Dolphins,away,0.135,3,2025-09-18,Miami Dolphins,Buffalo Bills
1758024034,2025-09-16 12:00:34,Buffalo Bills,home,0.865,3,2025-09-18,Miami Dolphins,Buffalo Bills
1758067207,2025-09-17 00:00:07,Miami Dolphins,away,0.125,3,2025-09-18,Miami Dolphins,Buffalo Bills
1758067215,2025-09-17 00:00:15,Buffalo Bills,home,0.875,3,2025-09-18,Miami Dolphins,Buffalo Bills
1758110410,2025-09-17 12:00:10,Buffalo Bills,home,0.875,3,2025-09-18,Miami Dolphins,Buffalo Bills
1758110421,2025-09-17 12:00:21,Miami Dolphins,away,0.125,3,2025-09-18,Miami Dolphins,Buffalo Bills
1758153610,2025-09-18 00:00:10,Buffalo Bills,home,0.87,3,2025-09-18,Miami Dolphins,Buffalo Bills
1758153612,2025-09-18 00:00:12,Miami Dolphins,away,0.13,3,2025-09-18,Miami Dolphins,Buffalo Bills
1758196812,2025-09-18 12:00:12,Buffalo Bills,home,0.875,3,2025-09-18,Miami Dolphins,Buffalo Bills
1758196820,2025-09-18 12:00:20,Miami Dolphins,away,0.125,3,2025-09-18,Miami Dolphins,Buffalo Bills
1758240007,2025-09-19 00:00:07,Miami Dolphins,away,0.145,3,2025-09-18,Miami Dolphins,Buffalo Bills
1758240011,2025-09-19 00:00:11,Buffalo Bills,home,0.855,3,2025-09-18,Miami Dolphins,Buffalo Bills
