timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759060803,2025-09-28 12:00:03,Miami Dolphins,away,0.51,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759060809,2025-09-28 12:00:09,Carolina Panthers,home,0.49,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759104005,2025-09-29 00:00:05,Miami Dolphins,away,0.52,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759104007,2025-09-29 00:00:07,Carolina Panthers,home,0.48,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759147206,2025-09-29 12:00:06,Carolina Panthers,home,0.48,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759147215,2025-09-29 12:00:15,Miami Dolphins,away,0.52,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759190408,2025-09-30 00:00:08,Miami Dolphins,away,0.545,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759190411,2025-09-30 00:00:11,Carolina Panthers,home,0.455,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759233606,2025-09-30 12:00:06,Carolina Panthers,home,0.515,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759233613,2025-09-30 12:00:13,Miami Dolphins,away,0.485,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759276807,2025-10-01 00:00:07,Miami Dolphins,away,0.515,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759276809,2025-10-01 00:00:09,Carolina Panthers,home,0.485,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759320009,2025-10-01 12:00:09,Miami Dolphins,away,0.515,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759320012,2025-10-01 12:00:12,Carolina Panthers,home,0.485,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759363205,2025-10-02 00:00:05,Miami Dolphins,away,0.515,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759363207,2025-10-02 00:00:07,Carolina Panthers,home,0.485,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759406407,2025-10-02 12:00:07,Miami Dolphins,away,0.515,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759406413,2025-10-02 12:00:13,Carolina Panthers,home,0.485,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759449604,2025-10-03 00:00:04,Carolina Panthers,home,0.485,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759449610,2025-10-03 00:00:10,Miami Dolphins,away,0.515,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759492803,2025-10-03 12:00:03,Miami Dolphins,away,0.515,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759492804,2025-10-03 12:00:04,Carolina Panthers,home,0.485,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759536009,2025-10-04 00:00:09,Miami Dolphins,away,0.525,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759536010,2025-10-04 00:00:10,Carolina Panthers,home,0.475,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759579214,2025-10-04 12:00:14,Carolina Panthers,home,0.475,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759579216,2025-10-04 12:00:16,Miami Dolphins,away,0.525,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759622404,2025-10-05 00:00:04,Carolina Panthers,home,0.485,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759622405,2025-10-05 00:00:05,Miami Dolphins,away,0.515,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759665604,2025-10-05 12:00:04,Miami Dolphins,away,0.515,5,2025-10-05,Miami Dolphins,Carolina Panthers
1759665606,2025-10-05 12:00:06,Carolina Panthers,home,0.485,5,2025-10-05,Miami Dolphins,Carolina Panthers
