timestamp,datetime,team,side,probability,week,date,away_team,home_team
1756641606,2025-08-31 12:00:06,Miami Dolphins,away,0.475,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756641632,2025-08-31 12:00:32,Indianapolis Colts,home,0.525,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756684805,2025-09-01 00:00:05,Miami Dolphins,away,0.48,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756684813,2025-09-01 00:00:13,Indianapolis Colts,home,0.52,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756728024,2025-09-01 12:00:24,Miami Dolphins,away,0.48,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756728027,2025-09-01 12:00:27,Indianapolis Colts,home,0.52,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756771205,2025-09-02 00:00:05,Indianapolis Colts,home,0.49,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756771218,2025-09-02 00:00:18,Miami Dolphins,away,0.51,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756814403,2025-09-02 12:00:03,Indianapolis Colts,home,0.485,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756814405,2025-09-02 12:00:05,Miami Dolphins,away,0.515,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756857613,2025-09-03 00:00:13,Indianapolis Colts,home,0.495,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756857613,2025-09-03 00:00:13,Miami Dolphins,away,0.505,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756900814,2025-09-03 12:00:14,Miami Dolphins,away,0.505,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756900814,2025-09-03 12:00:14,Indianapolis Colts,home,0.495,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756944005,2025-09-04 00:00:05,Miami Dolphins,away,0.51,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756944005,2025-09-04 00:00:05,Indianapolis Colts,home,0.49,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756987213,2025-09-04 12:00:13,Indianapolis Colts,home,0.495,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1756987218,2025-09-04 12:00:18,Miami Dolphins,away,0.505,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1757030409,2025-09-05 00:00:09,Indianapolis Colts,home,0.495,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1757030409,2025-09-05 00:00:09,Miami Dolphins,away,0.505,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1757073625,2025-09-05 12:00:25,Indianapolis Colts,home,0.495,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1757073628,2025-09-05 12:00:28,Miami Dolphins,away,0.505,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1757116810,2025-09-06 00:00:10,Indianapolis Colts,home,0.505,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1757116812,2025-09-06 00:00:12,Miami Dolphins,away,0.495,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1757160013,2025-09-06 12:00:13,Miami Dolphins,away,0.505,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1757160022,2025-09-06 12:00:22,Indianapolis Colts,home,0.495,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1757203207,2025-09-07 00:00:07,Miami Dolphins,away,0.505,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1757203211,2025-09-07 00:00:11,Indianapolis Colts,home,0.495,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1757246420,2025-09-07 12:00:20,Indianapolis Colts,home,0.495,1,2025-09-07,Miami Dolphins,Indianapolis Colts
1757246427,2025-09-07 12:00:27,Miami Dolphins,away,0.505,1,2025-09-07,Miami Dolphins,Indianapolis Colts
