timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759060811,2025-09-28 12:00:11,Cleveland Browns,home,0.31,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759060815,2025-09-28 12:00:15,Minnesota Vikings,away,0.69,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759104008,2025-09-29 00:00:08,Cleveland Browns,home,0.325,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759104009,2025-09-29 00:00:09,Minnesota Vikings,away,0.675,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759147209,2025-09-29 12:00:09,Cleveland Browns,home,0.365,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759147211,2025-09-29 12:00:11,Minnesota Vikings,away,0.635,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759190404,2025-09-30 00:00:04,Cleveland Browns,home,0.375,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759190411,2025-09-30 00:00:11,Minnesota Vikings,away,0.625,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759233612,2025-09-30 12:00:12,Minnesota Vikings,away,0.625,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759233615,2025-09-30 12:00:15,Cleveland Browns,home,0.375,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759276804,2025-10-01 00:00:04,Cleveland Browns,home,0.365,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759276805,2025-10-01 00:00:05,Minnesota Vikings,away,0.635,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759320002,2025-10-01 12:00:02,Minnesota Vikings,away,0.635,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759320015,2025-10-01 12:00:15,Cleveland Browns,home,0.365,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759363209,2025-10-02 00:00:09,Minnesota Vikings,away,0.65,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759363209,2025-10-02 00:00:09,Cleveland Browns,home,0.35,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759406407,2025-10-02 12:00:07,Minnesota Vikings,away,0.645,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759406416,2025-10-02 12:00:16,Cleveland Browns,home,0.355,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759449607,2025-10-03 00:00:07,Cleveland Browns,home,0.355,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759449610,2025-10-03 00:00:10,Minnesota Vikings,away,0.645,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759492803,2025-10-03 12:00:03,Cleveland Browns,home,0.355,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759492803,2025-10-03 12:00:03,Minnesota Vikings,away,0.645,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759536009,2025-10-04 00:00:09,Cleveland Browns,home,0.37,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759536009,2025-10-04 00:00:09,Minnesota Vikings,away,0.63,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759579203,2025-10-04 12:00:03,Cleveland Browns,home,0.355,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759579216,2025-10-04 12:00:16,Minnesota Vikings,away,0.645,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759622405,2025-10-05 00:00:05,Minnesota Vikings,away,0.64,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759622406,2025-10-05 00:00:06,Cleveland Browns,home,0.36,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759665605,2025-10-05 12:00:05,Cleveland Browns,home,0.365,5,2025-10-05,Minnesota Vikings,Cleveland Browns
1759665606,2025-10-05 12:00:06,Minnesota Vikings,away,0.635,5,2025-10-05,Minnesota Vikings,Cleveland Browns
