timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765238425,2025-12-09 00:00:25,Minnesota Vikings,away,0.485,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765238429,2025-12-09 00:00:29,Dallas Cowboys,home,0.515,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765281614,2025-12-09 12:00:14,Minnesota Vikings,away,0.475,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765281618,2025-12-09 12:00:18,Dallas Cowboys,home,0.525,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765324813,2025-12-10 00:00:13,Minnesota Vikings,away,0.48,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765324816,2025-12-10 00:00:16,Dallas Cowboys,home,0.52,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765368024,2025-12-10 12:00:24,Minnesota Vikings,away,0.49,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765368033,2025-12-10 12:00:33,Dallas Cowboys,home,0.51,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765411214,2025-12-11 00:00:14,Minnesota Vikings,away,0.505,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765411217,2025-12-11 00:00:17,Dallas Cowboys,home,0.495,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765454416,2025-12-11 12:00:16,Minnesota Vikings,away,0.49,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765454420,2025-12-11 12:00:20,Dallas Cowboys,home,0.51,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765497614,2025-12-12 00:00:14,Minnesota Vikings,away,0.515,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765497617,2025-12-12 00:00:17,Dallas Cowboys,home,0.485,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765540816,2025-12-12 12:00:16,Minnesota Vikings,away,0.45,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765540820,2025-12-12 12:00:20,Dallas Cowboys,home,0.55,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765584016,2025-12-13 00:00:16,Minnesota Vikings,away,0.425,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765584020,2025-12-13 00:00:20,Dallas Cowboys,home,0.575,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765627217,2025-12-13 12:00:17,Minnesota Vikings,away,0.425,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765627222,2025-12-13 12:00:22,Dallas Cowboys,home,0.575,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765670416,2025-12-14 00:00:16,Minnesota Vikings,away,0.355,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765670421,2025-12-14 00:00:21,Dallas Cowboys,home,0.645,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765713616,2025-12-14 12:00:16,Minnesota Vikings,away,0.36,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765713621,2025-12-14 12:00:21,Dallas Cowboys,home,0.64,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765756818,2025-12-15 00:00:18,Minnesota Vikings,away,0.37,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
1765756823,2025-12-15 00:00:23,Dallas Cowboys,home,0.63,15,2025-12-14,Minnesota Vikings,Dallas Cowboys
