timestamp,datetime,team,side,probability,week,date,away_team,home_team
1761480012,2025-10-26 12:00:12,Detroit Lions,home,0.435,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761480018,2025-10-26 12:00:18,Minnesota Vikings,away,0.565,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761523210,2025-10-27 00:00:10,Detroit Lions,home,0.815,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761523213,2025-10-27 00:00:13,Minnesota Vikings,away,0.185,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761566411,2025-10-27 12:00:11,Detroit Lions,home,0.815,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761566415,2025-10-27 12:00:15,Minnesota Vikings,away,0.185,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761609612,2025-10-28 00:00:12,Detroit Lions,home,0.805,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761609615,2025-10-28 00:00:15,Minnesota Vikings,away,0.195,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761652810,2025-10-28 12:00:10,Detroit Lions,home,0.8,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761652814,2025-10-28 12:00:14,Minnesota Vikings,away,0.2,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761696011,2025-10-29 00:00:11,Detroit Lions,home,0.815,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761696015,2025-10-29 00:00:15,Minnesota Vikings,away,0.185,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761782411,2025-10-30 00:00:11,Detroit Lions,home,0.805,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761782415,2025-10-30 00:00:15,Minnesota Vikings,away,0.195,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761825610,2025-10-30 12:00:10,Detroit Lions,home,0.81,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761825616,2025-10-30 12:00:16,Minnesota Vikings,away,0.19,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761868807,2025-10-31 00:00:07,Detroit Lions,home,0.81,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761868810,2025-10-31 00:00:10,Minnesota Vikings,away,0.19,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761912011,2025-10-31 12:00:11,Detroit Lions,home,0.805,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761912016,2025-10-31 12:00:16,Minnesota Vikings,away,0.195,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761955210,2025-11-01 00:00:10,Detroit Lions,home,0.81,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761955214,2025-11-01 00:00:14,Minnesota Vikings,away,0.19,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761998412,2025-11-01 12:00:12,Detroit Lions,home,0.81,9,2025-11-02,Minnesota Vikings,Detroit Lions
1761998418,2025-11-01 12:00:18,Minnesota Vikings,away,0.19,9,2025-11-02,Minnesota Vikings,Detroit Lions
1762041609,2025-11-02 00:00:09,Detroit Lions,home,0.805,9,2025-11-02,Minnesota Vikings,Detroit Lions
1762041612,2025-11-02 00:00:12,Minnesota Vikings,away,0.195,9,2025-11-02,Minnesota Vikings,Detroit Lions
1762084810,2025-11-02 12:00:10,Detroit Lions,home,0.805,9,2025-11-02,Minnesota Vikings,Detroit Lions
1762084815,2025-11-02 12:00:15,Minnesota Vikings,away,0.195,9,2025-11-02,Minnesota Vikings,Detroit Lions
