timestamp,datetime,team,side,probability,week,date,away_team,home_team
1763424008,2025-11-18 00:00:08,Minnesota Vikings,away,0.5,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763424018,2025-11-18 00:00:18,Green Bay Packers,home,0.5,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763467211,2025-11-18 12:00:11,Minnesota Vikings,away,0.46,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763467233,2025-11-18 12:00:33,Green Bay Packers,home,0.54,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763510411,2025-11-19 00:00:11,Minnesota Vikings,away,0.535,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763510429,2025-11-19 00:00:29,Green Bay Packers,home,0.465,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763553612,2025-11-19 12:00:12,Minnesota Vikings,away,0.56,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763553637,2025-11-19 12:00:37,Green Bay Packers,home,0.44,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763596808,2025-11-20 00:00:08,Minnesota Vikings,away,0.53,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763596818,2025-11-20 00:00:18,Green Bay Packers,home,0.47,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763640009,2025-11-20 12:00:09,Minnesota Vikings,away,0.51,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763640019,2025-11-20 12:00:19,Green Bay Packers,home,0.49,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763683211,2025-11-21 00:00:11,Minnesota Vikings,away,0.485,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763683231,2025-11-21 00:00:31,Green Bay Packers,home,0.515,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763726409,2025-11-21 12:00:09,Minnesota Vikings,away,0.495,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763726420,2025-11-21 12:00:20,Green Bay Packers,home,0.505,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763769609,2025-11-22 00:00:09,Minnesota Vikings,away,0.535,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763769620,2025-11-22 00:00:20,Green Bay Packers,home,0.465,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763812809,2025-11-22 12:00:09,Minnesota Vikings,away,0.505,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763812819,2025-11-22 12:00:19,Green Bay Packers,home,0.495,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763856009,2025-11-23 00:00:09,Minnesota Vikings,away,0.495,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763856021,2025-11-23 00:00:21,Green Bay Packers,home,0.505,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763899208,2025-11-23 12:00:08,Minnesota Vikings,away,0.335,12,2025-11-23,Minnesota Vikings,Green Bay Packers
1763899219,2025-11-23 12:00:19,Green Bay Packers,home,0.665,12,2025-11-23,Minnesota Vikings,Green Bay Packers
