timestamp,datetime,team,side,probability,week,date,away_team,home_team
1758456018,2025-09-21 12:00:18,Pittsburgh Steelers,home,0.57,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758456020,2025-09-21 12:00:20,Minnesota Vikings,away,0.43,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758499214,2025-09-22 00:00:14,Pittsburgh Steelers,home,0.465,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758499215,2025-09-22 00:00:15,Minnesota Vikings,away,0.535,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758542405,2025-09-22 12:00:05,Minnesota Vikings,away,0.53,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758542410,2025-09-22 12:00:10,Pittsburgh Steelers,home,0.47,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758585605,2025-09-23 00:00:05,Minnesota Vikings,away,0.585,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758585607,2025-09-23 00:00:07,Pittsburgh Steelers,home,0.415,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758628814,2025-09-23 12:00:14,Pittsburgh Steelers,home,0.425,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758628817,2025-09-23 12:00:17,Minnesota Vikings,away,0.575,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758672012,2025-09-24 00:00:12,Minnesota Vikings,away,0.565,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758672012,2025-09-24 00:00:12,Pittsburgh Steelers,home,0.435,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758715206,2025-09-24 12:00:06,Minnesota Vikings,away,0.565,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758715211,2025-09-24 12:00:11,Pittsburgh Steelers,home,0.435,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758758405,2025-09-25 00:00:05,Pittsburgh Steelers,home,0.445,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758758408,2025-09-25 00:00:08,Minnesota Vikings,away,0.555,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758801605,2025-09-25 12:00:05,Minnesota Vikings,away,0.555,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758801609,2025-09-25 12:00:09,Pittsburgh Steelers,home,0.445,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758844806,2025-09-26 00:00:06,Pittsburgh Steelers,home,0.445,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758844814,2025-09-26 00:00:14,Minnesota Vikings,away,0.555,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758888012,2025-09-26 12:00:12,Minnesota Vikings,away,0.565,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758888017,2025-09-26 12:00:17,Pittsburgh Steelers,home,0.435,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758931208,2025-09-27 00:00:08,Minnesota Vikings,away,0.565,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758931210,2025-09-27 00:00:10,Pittsburgh Steelers,home,0.435,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758974404,2025-09-27 12:00:04,Pittsburgh Steelers,home,0.435,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1758974411,2025-09-27 12:00:11,Minnesota Vikings,away,0.565,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1759017604,2025-09-28 00:00:04,Pittsburgh Steelers,home,0.445,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1759017610,2025-09-28 00:00:10,Minnesota Vikings,away,0.555,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1759060804,2025-09-28 12:00:04,Pittsburgh Steelers,home,0.425,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
1759060810,2025-09-28 12:00:10,Minnesota Vikings,away,0.575,4,2025-09-28,Minnesota Vikings,Pittsburgh Steelers
