timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765152025,2025-12-08 00:00:25,Baltimore Ravens,home,0.5,16,2025-12-21,New England Patriots,Baltimore Ravens
1765152029,2025-12-08 00:00:29,New England Patriots,away,0.5,16,2025-12-21,New England Patriots,Baltimore Ravens
1765195225,2025-12-08 12:00:25,Baltimore Ravens,home,0.4,16,2025-12-21,New England Patriots,Baltimore Ravens
1765195231,2025-12-08 12:00:31,New England Patriots,away,0.6,16,2025-12-21,New England Patriots,Baltimore Ravens
1765238422,2025-12-09 00:00:22,Baltimore Ravens,home,0.4,16,2025-12-21,New England Patriots,Baltimore Ravens
1765238427,2025-12-09 00:00:27,New England Patriots,away,0.6,16,2025-12-21,New England Patriots,Baltimore Ravens
1765281611,2025-12-09 12:00:11,Baltimore Ravens,home,0.385,16,2025-12-21,New England Patriots,Baltimore Ravens
1765281616,2025-12-09 12:00:16,New England Patriots,away,0.615,16,2025-12-21,New England Patriots,Baltimore Ravens
1765324811,2025-12-10 00:00:11,Baltimore Ravens,home,0.525,16,2025-12-21,New England Patriots,Baltimore Ravens
1765324814,2025-12-10 00:00:14,New England Patriots,away,0.475,16,2025-12-21,New England Patriots,Baltimore Ravens
1765368018,2025-12-10 12:00:18,Baltimore Ravens,home,0.55,16,2025-12-21,New England Patriots,Baltimore Ravens
1765368028,2025-12-10 12:00:28,New England Patriots,away,0.45,16,2025-12-21,New England Patriots,Baltimore Ravens
1765411211,2025-12-11 00:00:11,Baltimore Ravens,home,0.55,16,2025-12-21,New England Patriots,Baltimore Ravens
1765411215,2025-12-11 00:00:15,New England Patriots,away,0.45,16,2025-12-21,New England Patriots,Baltimore Ravens
1765454413,2025-12-11 12:00:13,Baltimore Ravens,home,0.535,16,2025-12-21,New England Patriots,Baltimore Ravens
1765454417,2025-12-11 12:00:17,New England Patriots,away,0.465,16,2025-12-21,New England Patriots,Baltimore Ravens
1765497612,2025-12-12 00:00:12,Baltimore Ravens,home,0.515,16,2025-12-21,New England Patriots,Baltimore Ravens
1765497615,2025-12-12 00:00:15,New England Patriots,away,0.485,16,2025-12-21,New England Patriots,Baltimore Ravens
1765540813,2025-12-12 12:00:13,Baltimore Ravens,home,0.52,16,2025-12-21,New England Patriots,Baltimore Ravens
