timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759060815,2025-09-28 12:00:15,Buffalo Bills,home,0.805,5,2025-10-05,New England Patriots,Buffalo Bills
1759060819,2025-09-28 12:00:19,New England Patriots,away,0.195,5,2025-10-05,New England Patriots,Buffalo Bills
1759104005,2025-09-29 00:00:05,New England Patriots,away,0.2,5,2025-10-05,New England Patriots,Buffalo Bills
1759104009,2025-09-29 00:00:09,Buffalo Bills,home,0.8,5,2025-10-05,New England Patriots,Buffalo Bills
1759147212,2025-09-29 12:00:12,Buffalo Bills,home,0.795,5,2025-10-05,New England Patriots,Buffalo Bills
1759147214,2025-09-29 12:00:14,New England Patriots,away,0.205,5,2025-10-05,New England Patriots,Buffalo Bills
1759190405,2025-09-30 00:00:05,Buffalo Bills,home,0.785,5,2025-10-05,New England Patriots,Buffalo Bills
1759190407,2025-09-30 00:00:07,New England Patriots,away,0.215,5,2025-10-05,New England Patriots,Buffalo Bills
1759233603,2025-09-30 12:00:03,New England Patriots,away,0.215,5,2025-10-05,New England Patriots,Buffalo Bills
1759233610,2025-09-30 12:00:10,Buffalo Bills,home,0.785,5,2025-10-05,New England Patriots,Buffalo Bills
1759276805,2025-10-01 00:00:05,Buffalo Bills,home,0.78,5,2025-10-05,New England Patriots,Buffalo Bills
1759276808,2025-10-01 00:00:08,New England Patriots,away,0.22,5,2025-10-05,New England Patriots,Buffalo Bills
1759320002,2025-10-01 12:00:02,Buffalo Bills,home,0.785,5,2025-10-05,New England Patriots,Buffalo Bills
1759320003,2025-10-01 12:00:03,New England Patriots,away,0.215,5,2025-10-05,New England Patriots,Buffalo Bills
1759363209,2025-10-02 00:00:09,Buffalo Bills,home,0.775,5,2025-10-05,New England Patriots,Buffalo Bills
1759363210,2025-10-02 00:00:10,New England Patriots,away,0.225,5,2025-10-05,New England Patriots,Buffalo Bills
1759406405,2025-10-02 12:00:05,Buffalo Bills,home,0.775,5,2025-10-05,New England Patriots,Buffalo Bills
1759406406,2025-10-02 12:00:06,New England Patriots,away,0.225,5,2025-10-05,New England Patriots,Buffalo Bills
1759449610,2025-10-03 00:00:10,Buffalo Bills,home,0.785,5,2025-10-05,New England Patriots,Buffalo Bills
1759449610,2025-10-03 00:00:10,New England Patriots,away,0.215,5,2025-10-05,New England Patriots,Buffalo Bills
1759492812,2025-10-03 12:00:12,New England Patriots,away,0.21,5,2025-10-05,New England Patriots,Buffalo Bills
1759492814,2025-10-03 12:00:14,Buffalo Bills,home,0.79,5,2025-10-05,New England Patriots,Buffalo Bills
1759536006,2025-10-04 00:00:06,New England Patriots,away,0.21,5,2025-10-05,New England Patriots,Buffalo Bills
1759536008,2025-10-04 00:00:08,Buffalo Bills,home,0.79,5,2025-10-05,New England Patriots,Buffalo Bills
1759579205,2025-10-04 12:00:05,New England Patriots,away,0.21,5,2025-10-05,New England Patriots,Buffalo Bills
1759579209,2025-10-04 12:00:09,Buffalo Bills,home,0.79,5,2025-10-05,New England Patriots,Buffalo Bills
1759622407,2025-10-05 00:00:07,New England Patriots,away,0.21,5,2025-10-05,New England Patriots,Buffalo Bills
1759622408,2025-10-05 00:00:08,Buffalo Bills,home,0.79,5,2025-10-05,New England Patriots,Buffalo Bills
1759665605,2025-10-05 12:00:05,New England Patriots,away,0.215,5,2025-10-05,New England Patriots,Buffalo Bills
1759665607,2025-10-05 12:00:07,Buffalo Bills,home,0.785,5,2025-10-05,New England Patriots,Buffalo Bills
1759708803,2025-10-06 00:00:03,Buffalo Bills,home,0.795,5,2025-10-05,New England Patriots,Buffalo Bills
1759708809,2025-10-06 00:00:09,New England Patriots,away,0.205,5,2025-10-05,New England Patriots,Buffalo Bills
