timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765843210,2025-12-16 00:00:10,New York Jets,home,0.285,17,2025-12-28,New England Patriots,New York Jets
1765843216,2025-12-16 00:00:16,New England Patriots,away,0.715,17,2025-12-28,New England Patriots,New York Jets
1765886422,2025-12-16 12:00:22,New York Jets,home,0.115,17,2025-12-28,New England Patriots,New York Jets
1765886429,2025-12-16 12:00:29,New England Patriots,away,0.885,17,2025-12-28,New England Patriots,New York Jets
1765929607,2025-12-17 00:00:07,New York Jets,home,0.205,17,2025-12-28,New England Patriots,New York Jets
1765929613,2025-12-17 00:00:13,New England Patriots,away,0.795,17,2025-12-28,New England Patriots,New York Jets
1765929632,2025-12-17 00:00:32,New York Jets,home,0.205,17,2025-12-28,New England Patriots,New York Jets
1765929635,2025-12-17 00:00:35,New England Patriots,away,0.795,17,2025-12-28,New England Patriots,New York Jets
1765972811,2025-12-17 12:00:11,New York Jets,home,0.22,17,2025-12-28,New England Patriots,New York Jets
1765972822,2025-12-17 12:00:22,New England Patriots,away,0.78,17,2025-12-28,New England Patriots,New York Jets
1766016020,2025-12-18 00:00:20,New York Jets,home,0.215,17,2025-12-28,New England Patriots,New York Jets
1766016024,2025-12-18 00:00:24,New England Patriots,away,0.785,17,2025-12-28,New England Patriots,New York Jets
1766059210,2025-12-18 12:00:10,New York Jets,home,0.165,17,2025-12-28,New England Patriots,New York Jets
1766059216,2025-12-18 12:00:16,New England Patriots,away,0.835,17,2025-12-28,New England Patriots,New York Jets
1766102411,2025-12-19 00:00:11,New York Jets,home,0.165,17,2025-12-28,New England Patriots,New York Jets
1766102416,2025-12-19 00:00:16,New England Patriots,away,0.835,17,2025-12-28,New England Patriots,New York Jets
1766145611,2025-12-19 12:00:11,New York Jets,home,0.165,17,2025-12-28,New England Patriots,New York Jets
1766145617,2025-12-19 12:00:17,New England Patriots,away,0.835,17,2025-12-28,New England Patriots,New York Jets
1766188810,2025-12-20 00:00:10,New York Jets,home,0.175,17,2025-12-28,New England Patriots,New York Jets
1766188815,2025-12-20 00:00:15,New England Patriots,away,0.825,17,2025-12-28,New England Patriots,New York Jets
1766232011,2025-12-20 12:00:11,New York Jets,home,0.165,17,2025-12-28,New England Patriots,New York Jets
1766232018,2025-12-20 12:00:18,New England Patriots,away,0.835,17,2025-12-28,New England Patriots,New York Jets
1766275210,2025-12-21 00:00:10,New York Jets,home,0.16,17,2025-12-28,New England Patriots,New York Jets
1766275216,2025-12-21 00:00:16,New England Patriots,away,0.84,17,2025-12-28,New England Patriots,New York Jets
1766318410,2025-12-21 12:00:10,New York Jets,home,0.17,17,2025-12-28,New England Patriots,New York Jets
1766318416,2025-12-21 12:00:16,New England Patriots,away,0.83,17,2025-12-28,New England Patriots,New York Jets
1766361610,2025-12-22 00:00:10,New York Jets,home,0.125,17,2025-12-28,New England Patriots,New York Jets
1766361615,2025-12-22 00:00:15,New England Patriots,away,0.875,17,2025-12-28,New England Patriots,New York Jets
1766404809,2025-12-22 12:00:09,New York Jets,home,0.11,17,2025-12-28,New England Patriots,New York Jets
1766404816,2025-12-22 12:00:16,New England Patriots,away,0.89,17,2025-12-28,New England Patriots,New York Jets
1766448011,2025-12-23 00:00:11,New York Jets,home,0.12,17,2025-12-28,New England Patriots,New York Jets
1766448017,2025-12-23 00:00:17,New England Patriots,away,0.88,17,2025-12-28,New England Patriots,New York Jets
1766491212,2025-12-23 12:00:12,New York Jets,home,0.11,17,2025-12-28,New England Patriots,New York Jets
1766491220,2025-12-23 12:00:20,New England Patriots,away,0.89,17,2025-12-28,New England Patriots,New York Jets
1766534411,2025-12-24 00:00:11,New York Jets,home,0.11,17,2025-12-28,New England Patriots,New York Jets
