timestamp,datetime,team,side,probability,week,date,away_team,home_team
1766361613,2025-12-22 00:00:13,New Orleans Saints,away,0.455,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766361621,2025-12-22 00:00:21,Atlanta Falcons,home,0.545,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766404813,2025-12-22 12:00:13,New Orleans Saints,away,0.455,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766404821,2025-12-22 12:00:21,Atlanta Falcons,home,0.545,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766448015,2025-12-23 00:00:15,New Orleans Saints,away,0.455,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766448024,2025-12-23 00:00:24,Atlanta Falcons,home,0.545,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766491216,2025-12-23 12:00:16,New Orleans Saints,away,0.495,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766491228,2025-12-23 12:00:28,Atlanta Falcons,home,0.505,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766534415,2025-12-24 00:00:15,New Orleans Saints,away,0.49,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766534423,2025-12-24 00:00:23,Atlanta Falcons,home,0.51,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766577614,2025-12-24 12:00:14,New Orleans Saints,away,0.49,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766577623,2025-12-24 12:00:23,Atlanta Falcons,home,0.51,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766620824,2025-12-25 00:00:24,New Orleans Saints,away,0.49,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766620832,2025-12-25 00:00:32,Atlanta Falcons,home,0.51,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766664015,2025-12-25 12:00:15,New Orleans Saints,away,0.49,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766664024,2025-12-25 12:00:24,Atlanta Falcons,home,0.51,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766707211,2025-12-26 00:00:11,New Orleans Saints,away,0.49,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766707216,2025-12-26 00:00:16,Atlanta Falcons,home,0.51,18,2026-01-04,New Orleans Saints,Atlanta Falcons
1766750413,2025-12-26 12:00:13,New Orleans Saints,away,0.49,18,2026-01-04,New Orleans Saints,Atlanta Falcons
