timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760270418,2025-10-12 12:00:18,New Orleans Saints,away,0.305,7,2025-10-19,New Orleans Saints,Chicago Bears
1760270419,2025-10-12 12:00:19,Chicago Bears,home,0.695,7,2025-10-19,New Orleans Saints,Chicago Bears
1760313610,2025-10-13 00:00:10,New Orleans Saints,away,0.305,7,2025-10-19,New Orleans Saints,Chicago Bears
1760313611,2025-10-13 00:00:11,Chicago Bears,home,0.695,7,2025-10-19,New Orleans Saints,Chicago Bears
1760356812,2025-10-13 12:00:12,Chicago Bears,home,0.695,7,2025-10-19,New Orleans Saints,Chicago Bears
1760356819,2025-10-13 12:00:19,New Orleans Saints,away,0.305,7,2025-10-19,New Orleans Saints,Chicago Bears
1760400014,2025-10-14 00:00:14,Chicago Bears,home,0.665,7,2025-10-19,New Orleans Saints,Chicago Bears
1760400018,2025-10-14 00:00:18,New Orleans Saints,away,0.335,7,2025-10-19,New Orleans Saints,Chicago Bears
1760443220,2025-10-14 12:00:20,Chicago Bears,home,0.67,7,2025-10-19,New Orleans Saints,Chicago Bears
1760443222,2025-10-14 12:00:22,New Orleans Saints,away,0.33,7,2025-10-19,New Orleans Saints,Chicago Bears
1760486414,2025-10-15 00:00:14,New Orleans Saints,away,0.315,7,2025-10-19,New Orleans Saints,Chicago Bears
1760486414,2025-10-15 00:00:14,Chicago Bears,home,0.685,7,2025-10-19,New Orleans Saints,Chicago Bears
1760529605,2025-10-15 12:00:05,New Orleans Saints,away,0.32,7,2025-10-19,New Orleans Saints,Chicago Bears
1760529617,2025-10-15 12:00:17,Chicago Bears,home,0.68,7,2025-10-19,New Orleans Saints,Chicago Bears
1760572812,2025-10-16 00:00:12,New Orleans Saints,away,0.315,7,2025-10-19,New Orleans Saints,Chicago Bears
1760572820,2025-10-16 00:00:20,Chicago Bears,home,0.685,7,2025-10-19,New Orleans Saints,Chicago Bears
1760616012,2025-10-16 12:00:12,Chicago Bears,home,0.68,7,2025-10-19,New Orleans Saints,Chicago Bears
1760616016,2025-10-16 12:00:16,New Orleans Saints,away,0.32,7,2025-10-19,New Orleans Saints,Chicago Bears
1760659210,2025-10-17 00:00:10,Chicago Bears,home,0.675,7,2025-10-19,New Orleans Saints,Chicago Bears
1760659213,2025-10-17 00:00:13,New Orleans Saints,away,0.325,7,2025-10-19,New Orleans Saints,Chicago Bears
1760702409,2025-10-17 12:00:09,Chicago Bears,home,0.675,7,2025-10-19,New Orleans Saints,Chicago Bears
1760702416,2025-10-17 12:00:16,New Orleans Saints,away,0.325,7,2025-10-19,New Orleans Saints,Chicago Bears
1760745614,2025-10-18 00:00:14,Chicago Bears,home,0.675,7,2025-10-19,New Orleans Saints,Chicago Bears
1760745620,2025-10-18 00:00:20,New Orleans Saints,away,0.325,7,2025-10-19,New Orleans Saints,Chicago Bears
1760788814,2025-10-18 12:00:14,New Orleans Saints,away,0.325,7,2025-10-19,New Orleans Saints,Chicago Bears
1760788830,2025-10-18 12:00:30,Chicago Bears,home,0.675,7,2025-10-19,New Orleans Saints,Chicago Bears
1760832003,2025-10-19 00:00:03,New Orleans Saints,away,0.335,7,2025-10-19,New Orleans Saints,Chicago Bears
1760832015,2025-10-19 00:00:15,Chicago Bears,home,0.665,7,2025-10-19,New Orleans Saints,Chicago Bears
1760875222,2025-10-19 12:00:22,New Orleans Saints,away,0.335,7,2025-10-19,New Orleans Saints,Chicago Bears
1760875227,2025-10-19 12:00:27,Chicago Bears,home,0.665,7,2025-10-19,New Orleans Saints,Chicago Bears
