timestamp,datetime,team,side,probability,week,date,away_team,home_team
1761480015,2025-10-26 12:00:15,Los Angeles Rams,home,0.475,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761480020,2025-10-26 12:00:20,New Orleans Saints,away,0.525,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761523211,2025-10-27 00:00:11,Los Angeles Rams,home,0.895,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761523214,2025-10-27 00:00:14,New Orleans Saints,away,0.105,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761566413,2025-10-27 12:00:13,Los Angeles Rams,home,0.895,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761566417,2025-10-27 12:00:17,New Orleans Saints,away,0.105,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761609613,2025-10-28 00:00:13,Los Angeles Rams,home,0.885,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761609617,2025-10-28 00:00:17,New Orleans Saints,away,0.115,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761652812,2025-10-28 12:00:12,Los Angeles Rams,home,0.88,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761652815,2025-10-28 12:00:15,New Orleans Saints,away,0.12,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761696012,2025-10-29 00:00:12,Los Angeles Rams,home,0.89,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761696016,2025-10-29 00:00:16,New Orleans Saints,away,0.11,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761782412,2025-10-30 00:00:12,Los Angeles Rams,home,0.89,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761782416,2025-10-30 00:00:16,New Orleans Saints,away,0.11,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761825612,2025-10-30 12:00:12,Los Angeles Rams,home,0.895,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761825618,2025-10-30 12:00:18,New Orleans Saints,away,0.105,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761868808,2025-10-31 00:00:08,Los Angeles Rams,home,0.895,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761868811,2025-10-31 00:00:11,New Orleans Saints,away,0.105,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761912013,2025-10-31 12:00:13,Los Angeles Rams,home,0.895,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761912018,2025-10-31 12:00:18,New Orleans Saints,away,0.105,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761955212,2025-11-01 00:00:12,Los Angeles Rams,home,0.895,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761955216,2025-11-01 00:00:16,New Orleans Saints,away,0.105,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761998414,2025-11-01 12:00:14,Los Angeles Rams,home,0.895,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1761998420,2025-11-01 12:00:20,New Orleans Saints,away,0.105,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1762041610,2025-11-02 00:00:10,Los Angeles Rams,home,0.895,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1762041613,2025-11-02 00:00:13,New Orleans Saints,away,0.105,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1762084813,2025-11-02 12:00:13,Los Angeles Rams,home,0.895,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1762084817,2025-11-02 12:00:17,New Orleans Saints,away,0.105,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1762128010,2025-11-03 00:00:10,Los Angeles Rams,home,0.9995,9,2025-11-02,New Orleans Saints,Los Angeles Rams
1762128014,2025-11-03 00:00:14,New Orleans Saints,away,0.0005,9,2025-11-02,New Orleans Saints,Los Angeles Rams
