timestamp,datetime,team,side,probability,week,date,away_team,home_team
1764028820,2025-11-25 00:00:20,Tampa Bay Buccaneers,home,0.68,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764028826,2025-11-25 00:00:26,New Orleans Saints,away,0.32,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764072026,2025-11-25 12:00:26,Tampa Bay Buccaneers,home,0.515,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764072035,2025-11-25 12:00:35,New Orleans Saints,away,0.485,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764115216,2025-11-26 00:00:16,Tampa Bay Buccaneers,home,0.705,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764115220,2025-11-26 00:00:20,New Orleans Saints,away,0.295,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764158441,2025-11-26 12:00:41,Tampa Bay Buccaneers,home,0.675,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764158451,2025-11-26 12:00:51,New Orleans Saints,away,0.325,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764201620,2025-11-27 00:00:20,Tampa Bay Buccaneers,home,0.78,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764201627,2025-11-27 00:00:27,New Orleans Saints,away,0.22,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764244831,2025-11-27 12:00:31,Tampa Bay Buccaneers,home,0.8,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764244842,2025-11-27 12:00:42,New Orleans Saints,away,0.2,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764288019,2025-11-28 00:00:19,Tampa Bay Buccaneers,home,0.77,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764288024,2025-11-28 00:00:24,New Orleans Saints,away,0.23,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764331230,2025-11-28 12:00:30,Tampa Bay Buccaneers,home,0.805,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764331241,2025-11-28 12:00:41,New Orleans Saints,away,0.195,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764374426,2025-11-29 00:00:26,Tampa Bay Buccaneers,home,0.8,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764374434,2025-11-29 00:00:34,New Orleans Saints,away,0.2,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764417632,2025-11-29 12:00:32,Tampa Bay Buccaneers,home,0.795,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764417642,2025-11-29 12:00:42,New Orleans Saints,away,0.205,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764460819,2025-11-30 00:00:19,Tampa Bay Buccaneers,home,0.78,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764460825,2025-11-30 00:00:25,New Orleans Saints,away,0.22,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764504056,2025-11-30 12:00:56,Tampa Bay Buccaneers,home,0.78,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764547222,2025-12-01 00:00:22,Tampa Bay Buccaneers,home,0.8,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764547229,2025-12-01 00:00:29,New Orleans Saints,away,0.2,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764590438,2025-12-01 12:00:38,Tampa Bay Buccaneers,home,0.79,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764590447,2025-12-01 12:00:47,New Orleans Saints,away,0.21,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764633614,2025-12-02 00:00:14,Tampa Bay Buccaneers,home,0.795,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764633618,2025-12-02 00:00:18,New Orleans Saints,away,0.205,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764676827,2025-12-02 12:00:27,Tampa Bay Buccaneers,home,0.785,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764676835,2025-12-02 12:00:35,New Orleans Saints,away,0.215,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764720022,2025-12-03 00:00:22,Tampa Bay Buccaneers,home,0.795,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764720029,2025-12-03 00:00:29,New Orleans Saints,away,0.205,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764763230,2025-12-03 12:00:30,Tampa Bay Buccaneers,home,0.79,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764763239,2025-12-03 12:00:39,New Orleans Saints,away,0.21,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764806415,2025-12-04 00:00:15,Tampa Bay Buccaneers,home,0.795,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764806418,2025-12-04 00:00:18,New Orleans Saints,away,0.205,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764849630,2025-12-04 12:00:30,Tampa Bay Buccaneers,home,0.795,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764849640,2025-12-04 12:00:40,New Orleans Saints,away,0.205,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764892817,2025-12-05 00:00:17,Tampa Bay Buccaneers,home,0.795,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764892821,2025-12-05 00:00:21,New Orleans Saints,away,0.205,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764936019,2025-12-05 12:00:19,Tampa Bay Buccaneers,home,0.795,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764936024,2025-12-05 12:00:24,New Orleans Saints,away,0.205,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764979218,2025-12-06 00:00:18,Tampa Bay Buccaneers,home,0.795,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1764979222,2025-12-06 00:00:22,New Orleans Saints,away,0.205,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1765022419,2025-12-06 12:00:19,Tampa Bay Buccaneers,home,0.795,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1765022423,2025-12-06 12:00:23,New Orleans Saints,away,0.205,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1765065630,2025-12-07 00:00:30,Tampa Bay Buccaneers,home,0.795,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1765065635,2025-12-07 00:00:35,New Orleans Saints,away,0.205,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1765108821,2025-12-07 12:00:21,Tampa Bay Buccaneers,home,0.795,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
1765108827,2025-12-07 12:00:27,New Orleans Saints,away,0.205,14,2025-12-07,New Orleans Saints,Tampa Bay Buccaneers
