timestamp,datetime,team,side,probability,week,date,away_team,home_team
1764028805,2025-11-25 00:00:05,New England Patriots,home,0.77,13,2025-12-01,New York Giants,New England Patriots
1764028810,2025-11-25 00:00:10,New York Giants,away,0.23,13,2025-12-01,New York Giants,New England Patriots
1764072005,2025-11-25 12:00:05,New England Patriots,home,0.765,13,2025-12-01,New York Giants,New England Patriots
1764072013,2025-11-25 12:00:13,New York Giants,away,0.235,13,2025-12-01,New York Giants,New England Patriots
1764115206,2025-11-26 00:00:06,New England Patriots,home,0.775,13,2025-12-01,New York Giants,New England Patriots
1764115210,2025-11-26 00:00:10,New York Giants,away,0.225,13,2025-12-01,New York Giants,New England Patriots
1764158419,2025-11-26 12:00:19,New England Patriots,home,0.775,13,2025-12-01,New York Giants,New England Patriots
1764158427,2025-11-26 12:00:27,New York Giants,away,0.225,13,2025-12-01,New York Giants,New England Patriots
1764201605,2025-11-27 00:00:05,New England Patriots,home,0.775,13,2025-12-01,New York Giants,New England Patriots
1764201611,2025-11-27 00:00:11,New York Giants,away,0.225,13,2025-12-01,New York Giants,New England Patriots
1764244805,2025-11-27 12:00:05,New England Patriots,home,0.765,13,2025-12-01,New York Giants,New England Patriots
1764244816,2025-11-27 12:00:16,New York Giants,away,0.235,13,2025-12-01,New York Giants,New England Patriots
1764288006,2025-11-28 00:00:06,New England Patriots,home,0.76,13,2025-12-01,New York Giants,New England Patriots
1764288011,2025-11-28 00:00:11,New York Giants,away,0.24,13,2025-12-01,New York Giants,New England Patriots
1764331206,2025-11-28 12:00:06,New England Patriots,home,0.76,13,2025-12-01,New York Giants,New England Patriots
1764331215,2025-11-28 12:00:15,New York Giants,away,0.24,13,2025-12-01,New York Giants,New England Patriots
1764374406,2025-11-29 00:00:06,New England Patriots,home,0.76,13,2025-12-01,New York Giants,New England Patriots
1764374413,2025-11-29 00:00:13,New York Giants,away,0.24,13,2025-12-01,New York Giants,New England Patriots
1764417606,2025-11-29 12:00:06,New England Patriots,home,0.765,13,2025-12-01,New York Giants,New England Patriots
1764417616,2025-11-29 12:00:16,New York Giants,away,0.235,13,2025-12-01,New York Giants,New England Patriots
1764460806,2025-11-30 00:00:06,New England Patriots,home,0.76,13,2025-12-01,New York Giants,New England Patriots
1764460811,2025-11-30 00:00:11,New York Giants,away,0.24,13,2025-12-01,New York Giants,New England Patriots
1764504032,2025-11-30 12:00:32,New England Patriots,home,0.76,13,2025-12-01,New York Giants,New England Patriots
1764504041,2025-11-30 12:00:41,New York Giants,away,0.24,13,2025-12-01,New York Giants,New England Patriots
1764547205,2025-12-01 00:00:05,New England Patriots,home,0.76,13,2025-12-01,New York Giants,New England Patriots
1764547211,2025-12-01 00:00:11,New York Giants,away,0.24,13,2025-12-01,New York Giants,New England Patriots
1764590415,2025-12-01 12:00:15,New England Patriots,home,0.765,13,2025-12-01,New York Giants,New England Patriots
1764590423,2025-12-01 12:00:23,New York Giants,away,0.235,13,2025-12-01,New York Giants,New England Patriots
1764633605,2025-12-02 00:00:05,New England Patriots,home,0.755,13,2025-12-01,New York Giants,New England Patriots
1764633609,2025-12-02 00:00:09,New York Giants,away,0.245,13,2025-12-01,New York Giants,New England Patriots
