timestamp,datetime,team,side,probability,week,date,away_team,home_team
1766361611,2025-12-22 00:00:11,New York Jets,away,0.285,18,2026-01-04,New York Jets,Buffalo Bills
1766361620,2025-12-22 00:00:20,Buffalo Bills,home,0.715,18,2026-01-04,New York Jets,Buffalo Bills
1766404810,2025-12-22 12:00:10,New York Jets,away,0.285,18,2026-01-04,New York Jets,Buffalo Bills
1766404820,2025-12-22 12:00:20,Buffalo Bills,home,0.715,18,2026-01-04,New York Jets,Buffalo Bills
1766448012,2025-12-23 00:00:12,New York Jets,away,0.25,18,2026-01-04,New York Jets,Buffalo Bills
1766448022,2025-12-23 00:00:22,Buffalo Bills,home,0.75,18,2026-01-04,New York Jets,Buffalo Bills
1766491213,2025-12-23 12:00:13,New York Jets,away,0.29,18,2026-01-04,New York Jets,Buffalo Bills
1766491225,2025-12-23 12:00:25,Buffalo Bills,home,0.71,18,2026-01-04,New York Jets,Buffalo Bills
1766534412,2025-12-24 00:00:12,New York Jets,away,0.155,18,2026-01-04,New York Jets,Buffalo Bills
1766534422,2025-12-24 00:00:22,Buffalo Bills,home,0.845,18,2026-01-04,New York Jets,Buffalo Bills
1766577612,2025-12-24 12:00:12,New York Jets,away,0.12,18,2026-01-04,New York Jets,Buffalo Bills
1766577622,2025-12-24 12:00:22,Buffalo Bills,home,0.88,18,2026-01-04,New York Jets,Buffalo Bills
1766620822,2025-12-25 00:00:22,New York Jets,away,0.115,18,2026-01-04,New York Jets,Buffalo Bills
1766620831,2025-12-25 00:00:31,Buffalo Bills,home,0.885,18,2026-01-04,New York Jets,Buffalo Bills
1766664013,2025-12-25 12:00:13,New York Jets,away,0.155,18,2026-01-04,New York Jets,Buffalo Bills
1766664023,2025-12-25 12:00:23,Buffalo Bills,home,0.845,18,2026-01-04,New York Jets,Buffalo Bills
1766707210,2025-12-26 00:00:10,New York Jets,away,0.155,18,2026-01-04,New York Jets,Buffalo Bills
1766707216,2025-12-26 00:00:16,Buffalo Bills,home,0.845,18,2026-01-04,New York Jets,Buffalo Bills
1766750411,2025-12-26 12:00:11,New York Jets,away,0.145,18,2026-01-04,New York Jets,Buffalo Bills
1766750420,2025-12-26 12:00:20,Buffalo Bills,home,0.855,18,2026-01-04,New York Jets,Buffalo Bills
1766793613,2025-12-27 00:00:13,New York Jets,away,0.135,18,2026-01-04,New York Jets,Buffalo Bills
1766793620,2025-12-27 00:00:20,Buffalo Bills,home,0.865,18,2026-01-04,New York Jets,Buffalo Bills
1766836812,2025-12-27 12:00:12,New York Jets,away,0.115,18,2026-01-04,New York Jets,Buffalo Bills
1766836820,2025-12-27 12:00:20,Buffalo Bills,home,0.885,18,2026-01-04,New York Jets,Buffalo Bills
1766880013,2025-12-28 00:00:13,New York Jets,away,0.19,18,2026-01-04,New York Jets,Buffalo Bills
1766880020,2025-12-28 00:00:20,Buffalo Bills,home,0.81,18,2026-01-04,New York Jets,Buffalo Bills
1766923212,2025-12-28 12:00:12,New York Jets,away,0.175,18,2026-01-04,New York Jets,Buffalo Bills
1766923221,2025-12-28 12:00:21,Buffalo Bills,home,0.825,18,2026-01-04,New York Jets,Buffalo Bills
1766966429,2025-12-29 00:00:29,New York Jets,away,0.065,18,2026-01-04,New York Jets,Buffalo Bills
1766966438,2025-12-29 00:00:38,Buffalo Bills,home,0.935,18,2026-01-04,New York Jets,Buffalo Bills
1767009612,2025-12-29 12:00:12,New York Jets,away,0.16,18,2026-01-04,New York Jets,Buffalo Bills
1767009621,2025-12-29 12:00:21,Buffalo Bills,home,0.84,18,2026-01-04,New York Jets,Buffalo Bills
1767052815,2025-12-30 00:00:15,New York Jets,away,0.23,18,2026-01-04,New York Jets,Buffalo Bills
1767052824,2025-12-30 00:00:24,Buffalo Bills,home,0.77,18,2026-01-04,New York Jets,Buffalo Bills
1767096014,2025-12-30 12:00:14,New York Jets,away,0.225,18,2026-01-04,New York Jets,Buffalo Bills
1767096025,2025-12-30 12:00:25,Buffalo Bills,home,0.775,18,2026-01-04,New York Jets,Buffalo Bills
1767139212,2025-12-31 00:00:12,New York Jets,away,0.225,18,2026-01-04,New York Jets,Buffalo Bills
1767139222,2025-12-31 00:00:22,Buffalo Bills,home,0.775,18,2026-01-04,New York Jets,Buffalo Bills
1767182412,2025-12-31 12:00:12,New York Jets,away,0.225,18,2026-01-04,New York Jets,Buffalo Bills
1767182422,2025-12-31 12:00:22,Buffalo Bills,home,0.775,18,2026-01-04,New York Jets,Buffalo Bills
1767225613,2026-01-01 00:00:13,New York Jets,away,0.225,18,2026-01-04,New York Jets,Buffalo Bills
1767225622,2026-01-01 00:00:22,Buffalo Bills,home,0.775,18,2026-01-04,New York Jets,Buffalo Bills
1767268813,2026-01-01 12:00:13,New York Jets,away,0.225,18,2026-01-04,New York Jets,Buffalo Bills
1767268824,2026-01-01 12:00:24,Buffalo Bills,home,0.775,18,2026-01-04,New York Jets,Buffalo Bills
1767312012,2026-01-02 00:00:12,New York Jets,away,0.235,18,2026-01-04,New York Jets,Buffalo Bills
1767312020,2026-01-02 00:00:20,Buffalo Bills,home,0.765,18,2026-01-04,New York Jets,Buffalo Bills
1767355212,2026-01-02 12:00:12,New York Jets,away,0.245,18,2026-01-04,New York Jets,Buffalo Bills
1767355221,2026-01-02 12:00:21,Buffalo Bills,home,0.755,18,2026-01-04,New York Jets,Buffalo Bills
1767398411,2026-01-03 00:00:11,New York Jets,away,0.215,18,2026-01-04,New York Jets,Buffalo Bills
1767398418,2026-01-03 00:00:18,Buffalo Bills,home,0.785,18,2026-01-04,New York Jets,Buffalo Bills
1767441613,2026-01-03 12:00:13,New York Jets,away,0.215,18,2026-01-04,New York Jets,Buffalo Bills
1767441621,2026-01-03 12:00:21,Buffalo Bills,home,0.785,18,2026-01-04,New York Jets,Buffalo Bills
1767484813,2026-01-04 00:00:13,New York Jets,away,0.21,18,2026-01-04,New York Jets,Buffalo Bills
1767484821,2026-01-04 00:00:21,Buffalo Bills,home,0.79,18,2026-01-04,New York Jets,Buffalo Bills
1767528014,2026-01-04 12:00:14,New York Jets,away,0.205,18,2026-01-04,New York Jets,Buffalo Bills
1767528023,2026-01-04 12:00:23,Buffalo Bills,home,0.795,18,2026-01-04,New York Jets,Buffalo Bills
1767571214,2026-01-05 00:00:14,New York Jets,away,0.0005,18,2026-01-04,New York Jets,Buffalo Bills
1767571224,2026-01-05 00:00:24,Buffalo Bills,home,0.9995,18,2026-01-04,New York Jets,Buffalo Bills
