timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760875222,2025-10-19 12:00:22,Cincinnati Bengals,home,0.625,8,2025-10-26,New York Jets,Cincinnati Bengals
1760875227,2025-10-19 12:00:27,New York Jets,away,0.375,8,2025-10-26,New York Jets,Cincinnati Bengals
1760918409,2025-10-20 00:00:09,New York Jets,away,0.315,8,2025-10-26,New York Jets,Cincinnati Bengals
1760918424,2025-10-20 00:00:24,Cincinnati Bengals,home,0.685,8,2025-10-26,New York Jets,Cincinnati Bengals
1760961612,2025-10-20 12:00:12,Cincinnati Bengals,home,0.695,8,2025-10-26,New York Jets,Cincinnati Bengals
1760961619,2025-10-20 12:00:19,New York Jets,away,0.305,8,2025-10-26,New York Jets,Cincinnati Bengals
1761004815,2025-10-21 00:00:15,Cincinnati Bengals,home,0.735,8,2025-10-26,New York Jets,Cincinnati Bengals
1761004819,2025-10-21 00:00:19,New York Jets,away,0.265,8,2025-10-26,New York Jets,Cincinnati Bengals
1761048017,2025-10-21 12:00:17,Cincinnati Bengals,home,0.745,8,2025-10-26,New York Jets,Cincinnati Bengals
1761048021,2025-10-21 12:00:21,New York Jets,away,0.255,8,2025-10-26,New York Jets,Cincinnati Bengals
1761091210,2025-10-22 00:00:10,New York Jets,away,0.275,8,2025-10-26,New York Jets,Cincinnati Bengals
1761091217,2025-10-22 00:00:17,Cincinnati Bengals,home,0.725,8,2025-10-26,New York Jets,Cincinnati Bengals
1761134412,2025-10-22 12:00:12,New York Jets,away,0.275,8,2025-10-26,New York Jets,Cincinnati Bengals
1761134422,2025-10-22 12:00:22,Cincinnati Bengals,home,0.725,8,2025-10-26,New York Jets,Cincinnati Bengals
1761177607,2025-10-23 00:00:07,New York Jets,away,0.27,8,2025-10-26,New York Jets,Cincinnati Bengals
1761177609,2025-10-23 00:00:09,Cincinnati Bengals,home,0.73,8,2025-10-26,New York Jets,Cincinnati Bengals
1761220808,2025-10-23 12:00:08,New York Jets,away,0.265,8,2025-10-26,New York Jets,Cincinnati Bengals
1761220815,2025-10-23 12:00:15,Cincinnati Bengals,home,0.735,8,2025-10-26,New York Jets,Cincinnati Bengals
1761264008,2025-10-24 00:00:08,New York Jets,away,0.275,8,2025-10-26,New York Jets,Cincinnati Bengals
1761264013,2025-10-24 00:00:13,Cincinnati Bengals,home,0.725,8,2025-10-26,New York Jets,Cincinnati Bengals
1761307209,2025-10-24 12:00:09,New York Jets,away,0.275,8,2025-10-26,New York Jets,Cincinnati Bengals
1761307217,2025-10-24 12:00:17,Cincinnati Bengals,home,0.725,8,2025-10-26,New York Jets,Cincinnati Bengals
1761350409,2025-10-25 00:00:09,New York Jets,away,0.275,8,2025-10-26,New York Jets,Cincinnati Bengals
1761350413,2025-10-25 00:00:13,Cincinnati Bengals,home,0.725,8,2025-10-26,New York Jets,Cincinnati Bengals
1761393611,2025-10-25 12:00:11,New York Jets,away,0.275,8,2025-10-26,New York Jets,Cincinnati Bengals
1761393618,2025-10-25 12:00:18,Cincinnati Bengals,home,0.725,8,2025-10-26,New York Jets,Cincinnati Bengals
1761436810,2025-10-26 00:00:10,New York Jets,away,0.27,8,2025-10-26,New York Jets,Cincinnati Bengals
1761436815,2025-10-26 00:00:15,Cincinnati Bengals,home,0.73,8,2025-10-26,New York Jets,Cincinnati Bengals
1761480011,2025-10-26 12:00:11,New York Jets,away,0.275,8,2025-10-26,New York Jets,Cincinnati Bengals
1761480019,2025-10-26 12:00:19,Cincinnati Bengals,home,0.725,8,2025-10-26,New York Jets,Cincinnati Bengals
