timestamp,datetime,team,side,probability,week,date,away_team,home_team
1758542402,2025-09-22 12:00:02,New York Jets,away,0.42,4,2025-09-29,New York Jets,Miami Dolphins
1758542410,2025-09-22 12:00:10,Miami Dolphins,home,0.58,4,2025-09-29,New York Jets,Miami Dolphins
1758585605,2025-09-23 00:00:05,New York Jets,away,0.415,4,2025-09-29,New York Jets,Miami Dolphins
1758585607,2025-09-23 00:00:07,Miami Dolphins,home,0.585,4,2025-09-29,New York Jets,Miami Dolphins
1758628820,2025-09-23 12:00:20,Miami Dolphins,home,0.585,4,2025-09-29,New York Jets,Miami Dolphins
1758628824,2025-09-23 12:00:24,New York Jets,away,0.415,4,2025-09-29,New York Jets,Miami Dolphins
1758672003,2025-09-24 00:00:03,New York Jets,away,0.405,4,2025-09-29,New York Jets,Miami Dolphins
1758672006,2025-09-24 00:00:06,Miami Dolphins,home,0.595,4,2025-09-29,New York Jets,Miami Dolphins
1758715207,2025-09-24 12:00:07,Miami Dolphins,home,0.59,4,2025-09-29,New York Jets,Miami Dolphins
1758715213,2025-09-24 12:00:13,New York Jets,away,0.41,4,2025-09-29,New York Jets,Miami Dolphins
1758758402,2025-09-25 00:00:02,Miami Dolphins,home,0.58,4,2025-09-29,New York Jets,Miami Dolphins
1758758406,2025-09-25 00:00:06,New York Jets,away,0.42,4,2025-09-29,New York Jets,Miami Dolphins
1758801610,2025-09-25 12:00:10,Miami Dolphins,home,0.585,4,2025-09-29,New York Jets,Miami Dolphins
1758801614,2025-09-25 12:00:14,New York Jets,away,0.415,4,2025-09-29,New York Jets,Miami Dolphins
1758844807,2025-09-26 00:00:07,Miami Dolphins,home,0.585,4,2025-09-29,New York Jets,Miami Dolphins
1758844810,2025-09-26 00:00:10,New York Jets,away,0.415,4,2025-09-29,New York Jets,Miami Dolphins
1758888005,2025-09-26 12:00:05,Miami Dolphins,home,0.575,4,2025-09-29,New York Jets,Miami Dolphins
1758888013,2025-09-26 12:00:13,New York Jets,away,0.425,4,2025-09-29,New York Jets,Miami Dolphins
1758931205,2025-09-27 00:00:05,Miami Dolphins,home,0.58,4,2025-09-29,New York Jets,Miami Dolphins
1758931208,2025-09-27 00:00:08,New York Jets,away,0.42,4,2025-09-29,New York Jets,Miami Dolphins
1758974403,2025-09-27 12:00:03,New York Jets,away,0.425,4,2025-09-29,New York Jets,Miami Dolphins
1758974406,2025-09-27 12:00:06,Miami Dolphins,home,0.575,4,2025-09-29,New York Jets,Miami Dolphins
1759017604,2025-09-28 00:00:04,New York Jets,away,0.425,4,2025-09-29,New York Jets,Miami Dolphins
1759017606,2025-09-28 00:00:06,Miami Dolphins,home,0.575,4,2025-09-29,New York Jets,Miami Dolphins
1759060817,2025-09-28 12:00:17,New York Jets,away,0.425,4,2025-09-29,New York Jets,Miami Dolphins
1759060818,2025-09-28 12:00:18,Miami Dolphins,home,0.575,4,2025-09-29,New York Jets,Miami Dolphins
1759104003,2025-09-29 00:00:03,New York Jets,away,0.42,4,2025-09-29,New York Jets,Miami Dolphins
1759104004,2025-09-29 00:00:04,Miami Dolphins,home,0.58,4,2025-09-29,New York Jets,Miami Dolphins
1759147212,2025-09-29 12:00:12,New York Jets,away,0.425,4,2025-09-29,New York Jets,Miami Dolphins
1759147213,2025-09-29 12:00:13,Miami Dolphins,home,0.575,4,2025-09-29,New York Jets,Miami Dolphins
1759190404,2025-09-30 00:00:04,Miami Dolphins,home,0.745,4,2025-09-29,New York Jets,Miami Dolphins
1759190407,2025-09-30 00:00:07,New York Jets,away,0.255,4,2025-09-29,New York Jets,Miami Dolphins
