timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757851202,2025-09-14 12:00:02,New York Jets,away,0.32,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1757851233,2025-09-14 12:00:33,Tampa Bay Buccaneers,home,0.68,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1757894405,2025-09-15 00:00:05,Tampa Bay Buccaneers,home,0.695,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1757894406,2025-09-15 00:00:06,New York Jets,away,0.305,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1757937602,2025-09-15 12:00:02,New York Jets,away,0.265,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1757937621,2025-09-15 12:00:21,Tampa Bay Buccaneers,home,0.735,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1757980813,2025-09-16 00:00:13,Tampa Bay Buccaneers,home,0.735,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1757980820,2025-09-16 00:00:20,New York Jets,away,0.265,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758024010,2025-09-16 12:00:10,New York Jets,away,0.27,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758024027,2025-09-16 12:00:27,Tampa Bay Buccaneers,home,0.73,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758067213,2025-09-17 00:00:13,Tampa Bay Buccaneers,home,0.735,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758067215,2025-09-17 00:00:15,New York Jets,away,0.265,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758110412,2025-09-17 12:00:12,New York Jets,away,0.28,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758110414,2025-09-17 12:00:14,Tampa Bay Buccaneers,home,0.72,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758153610,2025-09-18 00:00:10,New York Jets,away,0.265,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758153613,2025-09-18 00:00:13,Tampa Bay Buccaneers,home,0.735,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758196805,2025-09-18 12:00:05,Tampa Bay Buccaneers,home,0.735,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758196828,2025-09-18 12:00:28,New York Jets,away,0.265,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758240008,2025-09-19 00:00:08,New York Jets,away,0.265,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758240012,2025-09-19 00:00:12,Tampa Bay Buccaneers,home,0.735,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758283210,2025-09-19 12:00:10,New York Jets,away,0.265,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758283219,2025-09-19 12:00:19,Tampa Bay Buccaneers,home,0.735,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758326404,2025-09-20 00:00:04,New York Jets,away,0.265,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758326409,2025-09-20 00:00:09,Tampa Bay Buccaneers,home,0.735,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758369602,2025-09-20 12:00:02,Tampa Bay Buccaneers,home,0.735,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758369617,2025-09-20 12:00:17,New York Jets,away,0.265,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758412804,2025-09-21 00:00:04,New York Jets,away,0.265,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758412810,2025-09-21 00:00:10,Tampa Bay Buccaneers,home,0.735,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758456008,2025-09-21 12:00:08,New York Jets,away,0.265,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
1758456014,2025-09-21 12:00:14,Tampa Bay Buccaneers,home,0.735,3,2025-09-21,New York Jets,Tampa Bay Buccaneers
