timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757246413,2025-09-07 12:00:13,Philadelphia Eagles,away,0.49,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757246422,2025-09-07 12:00:22,Kansas City Chiefs,home,0.51,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757289615,2025-09-08 00:00:15,Philadelphia Eagles,away,0.5,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757289620,2025-09-08 00:00:20,Kansas City Chiefs,home,0.5,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757332812,2025-09-08 12:00:12,Philadelphia Eagles,away,0.53,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757332831,2025-09-08 12:00:31,Kansas City Chiefs,home,0.47,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757376004,2025-09-09 00:00:04,Philadelphia Eagles,away,0.515,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757376014,2025-09-09 00:00:14,Kansas City Chiefs,home,0.485,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757419220,2025-09-09 12:00:20,Kansas City Chiefs,home,0.485,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757419228,2025-09-09 12:00:28,Philadelphia Eagles,away,0.515,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757462406,2025-09-10 00:00:06,Kansas City Chiefs,home,0.48,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757462411,2025-09-10 00:00:11,Philadelphia Eagles,away,0.52,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757505611,2025-09-10 12:00:11,Kansas City Chiefs,home,0.48,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757505619,2025-09-10 12:00:19,Philadelphia Eagles,away,0.52,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757548806,2025-09-11 00:00:06,Philadelphia Eagles,away,0.525,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757548810,2025-09-11 00:00:10,Kansas City Chiefs,home,0.475,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757592002,2025-09-11 12:00:02,Kansas City Chiefs,home,0.475,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757592033,2025-09-11 12:00:33,Philadelphia Eagles,away,0.525,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757635220,2025-09-12 00:00:20,Philadelphia Eagles,away,0.52,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757635221,2025-09-12 00:00:21,Kansas City Chiefs,home,0.48,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757678425,2025-09-12 12:00:25,Kansas City Chiefs,home,0.47,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757678433,2025-09-12 12:00:33,Philadelphia Eagles,away,0.53,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757721607,2025-09-13 00:00:07,Kansas City Chiefs,home,0.475,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757721609,2025-09-13 00:00:09,Philadelphia Eagles,away,0.525,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757764833,2025-09-13 12:00:33,Kansas City Chiefs,home,0.48,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757764833,2025-09-13 12:00:33,Philadelphia Eagles,away,0.52,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757808007,2025-09-14 00:00:07,Kansas City Chiefs,home,0.485,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757808015,2025-09-14 00:00:15,Philadelphia Eagles,away,0.515,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757851224,2025-09-14 12:00:24,Kansas City Chiefs,home,0.475,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757851233,2025-09-14 12:00:33,Philadelphia Eagles,away,0.525,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757894405,2025-09-15 00:00:05,Philadelphia Eagles,away,0.9995,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
1757894413,2025-09-15 00:00:13,Kansas City Chiefs,home,0.0005,2,2025-09-14,Philadelphia Eagles,Kansas City Chiefs
