timestamp,datetime,team,side,probability,week,date,away_team,home_team
1764633607,2025-12-02 00:00:07,Los Angeles Chargers,home,0.49,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764633617,2025-12-02 00:00:17,Philadelphia Eagles,away,0.51,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764676810,2025-12-02 12:00:10,Los Angeles Chargers,home,0.5,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764676833,2025-12-02 12:00:33,Philadelphia Eagles,away,0.5,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764720010,2025-12-03 00:00:10,Los Angeles Chargers,home,0.5,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764720027,2025-12-03 00:00:27,Philadelphia Eagles,away,0.5,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764763211,2025-12-03 12:00:11,Los Angeles Chargers,home,0.495,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764763237,2025-12-03 12:00:37,Philadelphia Eagles,away,0.505,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764806408,2025-12-04 00:00:08,Los Angeles Chargers,home,0.5,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764806417,2025-12-04 00:00:17,Philadelphia Eagles,away,0.5,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764849611,2025-12-04 12:00:11,Los Angeles Chargers,home,0.585,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764849637,2025-12-04 12:00:37,Philadelphia Eagles,away,0.415,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764892809,2025-12-05 00:00:09,Los Angeles Chargers,home,0.5,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764892820,2025-12-05 00:00:20,Philadelphia Eagles,away,0.5,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764936009,2025-12-05 12:00:09,Los Angeles Chargers,home,0.52,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764936022,2025-12-05 12:00:22,Philadelphia Eagles,away,0.48,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764979209,2025-12-06 00:00:09,Los Angeles Chargers,home,0.5,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1764979221,2025-12-06 00:00:21,Philadelphia Eagles,away,0.5,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1765022410,2025-12-06 12:00:10,Los Angeles Chargers,home,0.5,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1765022422,2025-12-06 12:00:22,Philadelphia Eagles,away,0.5,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1765065621,2025-12-07 00:00:21,Los Angeles Chargers,home,0.47,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1765065633,2025-12-07 00:00:33,Philadelphia Eagles,away,0.53,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1765108809,2025-12-07 12:00:09,Los Angeles Chargers,home,0.465,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1765108825,2025-12-07 12:00:25,Philadelphia Eagles,away,0.535,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1765152021,2025-12-08 00:00:21,Los Angeles Chargers,home,0.465,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1765152032,2025-12-08 00:00:32,Philadelphia Eagles,away,0.535,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1765195221,2025-12-08 12:00:21,Los Angeles Chargers,home,0.47,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1765195234,2025-12-08 12:00:34,Philadelphia Eagles,away,0.53,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1765238419,2025-12-09 00:00:19,Los Angeles Chargers,home,0.47,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
1765238430,2025-12-09 00:00:30,Philadelphia Eagles,away,0.53,14,2025-12-08,Philadelphia Eagles,Los Angeles Chargers
