timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760270404,2025-10-12 12:00:04,Philadelphia Eagles,away,0.555,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760270409,2025-10-12 12:00:09,Minnesota Vikings,home,0.445,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760313602,2025-10-13 00:00:02,Minnesota Vikings,home,0.43,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760313615,2025-10-13 00:00:15,Philadelphia Eagles,away,0.57,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760356809,2025-10-13 12:00:09,Philadelphia Eagles,away,0.57,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760356822,2025-10-13 12:00:22,Minnesota Vikings,home,0.43,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760400012,2025-10-14 00:00:12,Philadelphia Eagles,away,0.555,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760400019,2025-10-14 00:00:19,Minnesota Vikings,home,0.445,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760443217,2025-10-14 12:00:17,Minnesota Vikings,home,0.445,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760443221,2025-10-14 12:00:21,Philadelphia Eagles,away,0.555,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760486412,2025-10-15 00:00:12,Minnesota Vikings,home,0.455,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760486413,2025-10-15 00:00:13,Philadelphia Eagles,away,0.545,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760529610,2025-10-15 12:00:10,Philadelphia Eagles,away,0.545,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760529617,2025-10-15 12:00:17,Minnesota Vikings,home,0.455,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760572815,2025-10-16 00:00:15,Philadelphia Eagles,away,0.545,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760572820,2025-10-16 00:00:20,Minnesota Vikings,home,0.455,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760616010,2025-10-16 12:00:10,Philadelphia Eagles,away,0.54,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760616016,2025-10-16 12:00:16,Minnesota Vikings,home,0.46,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760659211,2025-10-17 00:00:11,Philadelphia Eagles,away,0.54,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760659214,2025-10-17 00:00:14,Minnesota Vikings,home,0.46,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760702414,2025-10-17 12:00:14,Philadelphia Eagles,away,0.545,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760702421,2025-10-17 12:00:21,Minnesota Vikings,home,0.455,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760745605,2025-10-18 00:00:05,Minnesota Vikings,home,0.455,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760745618,2025-10-18 00:00:18,Philadelphia Eagles,away,0.545,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760788814,2025-10-18 12:00:14,Minnesota Vikings,home,0.455,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760788820,2025-10-18 12:00:20,Philadelphia Eagles,away,0.545,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760832003,2025-10-19 00:00:03,Minnesota Vikings,home,0.445,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760832008,2025-10-19 00:00:08,Philadelphia Eagles,away,0.555,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760875222,2025-10-19 12:00:22,Minnesota Vikings,home,0.445,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
1760875226,2025-10-19 12:00:26,Philadelphia Eagles,away,0.555,7,2025-10-19,Philadelphia Eagles,Minnesota Vikings
