timestamp,datetime,team,side,probability,week,date,away_team,home_team
1758456025,2025-09-21 12:00:25,Tampa Bay Buccaneers,home,0.42,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758456027,2025-09-21 12:00:27,Philadelphia Eagles,away,0.58,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758499202,2025-09-22 00:00:02,Philadelphia Eagles,away,0.595,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758499219,2025-09-22 00:00:19,Tampa Bay Buccaneers,home,0.405,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758542422,2025-09-22 12:00:22,Philadelphia Eagles,away,0.61,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758542423,2025-09-22 12:00:23,Tampa Bay Buccaneers,home,0.39,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758585611,2025-09-23 00:00:11,Philadelphia Eagles,away,0.625,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758585612,2025-09-23 00:00:12,Tampa Bay Buccaneers,home,0.375,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758628808,2025-09-23 12:00:08,Philadelphia Eagles,away,0.635,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758628827,2025-09-23 12:00:27,Tampa Bay Buccaneers,home,0.365,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758672006,2025-09-24 00:00:06,Philadelphia Eagles,away,0.635,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758672019,2025-09-24 00:00:19,Tampa Bay Buccaneers,home,0.365,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758715202,2025-09-24 12:00:02,Tampa Bay Buccaneers,home,0.365,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758715206,2025-09-24 12:00:06,Philadelphia Eagles,away,0.635,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758758408,2025-09-25 00:00:08,Tampa Bay Buccaneers,home,0.355,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758758408,2025-09-25 00:00:08,Philadelphia Eagles,away,0.645,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758801604,2025-09-25 12:00:04,Tampa Bay Buccaneers,home,0.355,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758801612,2025-09-25 12:00:12,Philadelphia Eagles,away,0.645,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758844808,2025-09-26 00:00:08,Philadelphia Eagles,away,0.645,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758844814,2025-09-26 00:00:14,Tampa Bay Buccaneers,home,0.355,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758888006,2025-09-26 12:00:06,Tampa Bay Buccaneers,home,0.355,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758888016,2025-09-26 12:00:16,Philadelphia Eagles,away,0.645,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758931205,2025-09-27 00:00:05,Tampa Bay Buccaneers,home,0.365,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758931209,2025-09-27 00:00:09,Philadelphia Eagles,away,0.635,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758974406,2025-09-27 12:00:06,Philadelphia Eagles,away,0.65,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1758974408,2025-09-27 12:00:08,Tampa Bay Buccaneers,home,0.35,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1759017606,2025-09-28 00:00:06,Philadelphia Eagles,away,0.635,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1759017608,2025-09-28 00:00:08,Tampa Bay Buccaneers,home,0.365,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1759060807,2025-09-28 12:00:07,Tampa Bay Buccaneers,home,0.355,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
1759060808,2025-09-28 12:00:08,Philadelphia Eagles,away,0.645,4,2025-09-28,Philadelphia Eagles,Tampa Bay Buccaneers
