timestamp,datetime,team,side,probability,week,date,away_team,home_team
1764028806,2025-11-25 00:00:06,Baltimore Ravens,home,0.5,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764028827,2025-11-25 00:00:27,Pittsburgh Steelers,away,0.5,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764072006,2025-11-25 12:00:06,Baltimore Ravens,home,0.6,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764072036,2025-11-25 12:00:36,Pittsburgh Steelers,away,0.4,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764115207,2025-11-26 00:00:07,Baltimore Ravens,home,0.575,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764115221,2025-11-26 00:00:21,Pittsburgh Steelers,away,0.425,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764158420,2025-11-26 12:00:20,Baltimore Ravens,home,0.565,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764158451,2025-11-26 12:00:51,Pittsburgh Steelers,away,0.435,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764201606,2025-11-27 00:00:06,Baltimore Ravens,home,0.56,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764201627,2025-11-27 00:00:27,Pittsburgh Steelers,away,0.44,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764244807,2025-11-27 12:00:07,Baltimore Ravens,home,0.58,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764244843,2025-11-27 12:00:43,Pittsburgh Steelers,away,0.42,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764288007,2025-11-28 00:00:07,Baltimore Ravens,home,0.57,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764288024,2025-11-28 00:00:24,Pittsburgh Steelers,away,0.43,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764331207,2025-11-28 12:00:07,Baltimore Ravens,home,0.73,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764331242,2025-11-28 12:00:42,Pittsburgh Steelers,away,0.27,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764374407,2025-11-29 00:00:07,Baltimore Ravens,home,0.715,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764374434,2025-11-29 00:00:34,Pittsburgh Steelers,away,0.285,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764417607,2025-11-29 12:00:07,Baltimore Ravens,home,0.72,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764417644,2025-11-29 12:00:44,Pittsburgh Steelers,away,0.28,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764460807,2025-11-30 00:00:07,Baltimore Ravens,home,0.72,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764460825,2025-11-30 00:00:25,Pittsburgh Steelers,away,0.28,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764504033,2025-11-30 12:00:33,Baltimore Ravens,home,0.705,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764547205,2025-12-01 00:00:05,Baltimore Ravens,home,0.715,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764547230,2025-12-01 00:00:30,Pittsburgh Steelers,away,0.285,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764590417,2025-12-01 12:00:17,Baltimore Ravens,home,0.74,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764590448,2025-12-01 12:00:48,Pittsburgh Steelers,away,0.26,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764633606,2025-12-02 00:00:06,Baltimore Ravens,home,0.715,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764633619,2025-12-02 00:00:19,Pittsburgh Steelers,away,0.285,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764676807,2025-12-02 12:00:07,Baltimore Ravens,home,0.715,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764676836,2025-12-02 12:00:36,Pittsburgh Steelers,away,0.285,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764720007,2025-12-03 00:00:07,Baltimore Ravens,home,0.715,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764720030,2025-12-03 00:00:30,Pittsburgh Steelers,away,0.285,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764763207,2025-12-03 12:00:07,Baltimore Ravens,home,0.705,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764763241,2025-12-03 12:00:41,Pittsburgh Steelers,away,0.295,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764806407,2025-12-04 00:00:07,Baltimore Ravens,home,0.71,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764806419,2025-12-04 00:00:19,Pittsburgh Steelers,away,0.29,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764849607,2025-12-04 12:00:07,Baltimore Ravens,home,0.705,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764849641,2025-12-04 12:00:41,Pittsburgh Steelers,away,0.295,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764892807,2025-12-05 00:00:07,Baltimore Ravens,home,0.7,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
1764892821,2025-12-05 00:00:21,Pittsburgh Steelers,away,0.3,14,2025-12-07,Pittsburgh Steelers,Baltimore Ravens
