timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765843212,2025-12-16 00:00:12,Cleveland Browns,home,0.45,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1765843217,2025-12-16 00:00:17,Pittsburgh Steelers,away,0.55,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1765886425,2025-12-16 12:00:25,Cleveland Browns,home,0.235,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1765886430,2025-12-16 12:00:30,Pittsburgh Steelers,away,0.765,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1765929609,2025-12-17 00:00:09,Cleveland Browns,home,0.365,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1765929614,2025-12-17 00:00:14,Pittsburgh Steelers,away,0.635,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1765929633,2025-12-17 00:00:33,Cleveland Browns,home,0.365,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1765929635,2025-12-17 00:00:35,Pittsburgh Steelers,away,0.635,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1765972813,2025-12-17 12:00:13,Cleveland Browns,home,0.355,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1765972824,2025-12-17 12:00:24,Pittsburgh Steelers,away,0.645,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766016022,2025-12-18 00:00:22,Cleveland Browns,home,0.355,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766016025,2025-12-18 00:00:25,Pittsburgh Steelers,away,0.645,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766059212,2025-12-18 12:00:12,Cleveland Browns,home,0.34,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766059216,2025-12-18 12:00:16,Pittsburgh Steelers,away,0.66,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766102412,2025-12-19 00:00:12,Cleveland Browns,home,0.335,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766102416,2025-12-19 00:00:16,Pittsburgh Steelers,away,0.665,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766145614,2025-12-19 12:00:14,Cleveland Browns,home,0.34,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766145618,2025-12-19 12:00:18,Pittsburgh Steelers,away,0.66,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766188812,2025-12-20 00:00:12,Cleveland Browns,home,0.345,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766188816,2025-12-20 00:00:16,Pittsburgh Steelers,away,0.655,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766232014,2025-12-20 12:00:14,Cleveland Browns,home,0.33,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766232020,2025-12-20 12:00:20,Pittsburgh Steelers,away,0.67,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766275212,2025-12-21 00:00:12,Cleveland Browns,home,0.335,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766275217,2025-12-21 00:00:17,Pittsburgh Steelers,away,0.665,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766318412,2025-12-21 12:00:12,Cleveland Browns,home,0.335,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766318417,2025-12-21 12:00:17,Pittsburgh Steelers,away,0.665,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766361612,2025-12-22 00:00:12,Cleveland Browns,home,0.34,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766361616,2025-12-22 00:00:16,Pittsburgh Steelers,away,0.66,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766404812,2025-12-22 12:00:12,Cleveland Browns,home,0.335,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766404817,2025-12-22 12:00:17,Pittsburgh Steelers,away,0.665,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766448013,2025-12-23 00:00:13,Cleveland Browns,home,0.345,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766448019,2025-12-23 00:00:19,Pittsburgh Steelers,away,0.655,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766491214,2025-12-23 12:00:14,Cleveland Browns,home,0.345,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766491221,2025-12-23 12:00:21,Pittsburgh Steelers,away,0.655,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766534413,2025-12-24 00:00:13,Cleveland Browns,home,0.38,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766534418,2025-12-24 00:00:18,Pittsburgh Steelers,away,0.62,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766577613,2025-12-24 12:00:13,Cleveland Browns,home,0.375,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766577618,2025-12-24 12:00:18,Pittsburgh Steelers,away,0.625,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766620823,2025-12-25 00:00:23,Cleveland Browns,home,0.375,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766620828,2025-12-25 00:00:28,Pittsburgh Steelers,away,0.625,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766664014,2025-12-25 12:00:14,Cleveland Browns,home,0.375,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766664019,2025-12-25 12:00:19,Pittsburgh Steelers,away,0.625,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766707210,2025-12-26 00:00:10,Cleveland Browns,home,0.375,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766707213,2025-12-26 00:00:13,Pittsburgh Steelers,away,0.625,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766750412,2025-12-26 12:00:12,Cleveland Browns,home,0.375,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766750417,2025-12-26 12:00:17,Pittsburgh Steelers,away,0.625,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766793613,2025-12-27 00:00:13,Cleveland Browns,home,0.375,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766793617,2025-12-27 00:00:17,Pittsburgh Steelers,away,0.625,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766836814,2025-12-27 12:00:14,Cleveland Browns,home,0.375,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766836818,2025-12-27 12:00:18,Pittsburgh Steelers,away,0.625,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766880014,2025-12-28 00:00:14,Cleveland Browns,home,0.385,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766880018,2025-12-28 00:00:18,Pittsburgh Steelers,away,0.615,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766923214,2025-12-28 12:00:14,Cleveland Browns,home,0.355,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
1766923218,2025-12-28 12:00:18,Pittsburgh Steelers,away,0.645,17,2025-12-28,Pittsburgh Steelers,Cleveland Browns
