timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765238427,2025-12-09 00:00:27,Detroit Lions,home,0.5,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765238431,2025-12-09 00:00:31,Pittsburgh Steelers,away,0.5,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765281616,2025-12-09 12:00:16,Detroit Lions,home,0.7,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765281621,2025-12-09 12:00:21,Pittsburgh Steelers,away,0.3,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765324814,2025-12-10 00:00:14,Detroit Lions,home,0.655,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765324818,2025-12-10 00:00:18,Pittsburgh Steelers,away,0.345,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765368027,2025-12-10 12:00:27,Detroit Lions,home,0.7,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765368038,2025-12-10 12:00:38,Pittsburgh Steelers,away,0.3,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765411215,2025-12-11 00:00:15,Detroit Lions,home,0.7,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765411219,2025-12-11 00:00:19,Pittsburgh Steelers,away,0.3,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765454417,2025-12-11 12:00:17,Detroit Lions,home,0.7,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765454421,2025-12-11 12:00:21,Pittsburgh Steelers,away,0.3,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765497615,2025-12-12 00:00:15,Detroit Lions,home,0.71,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765497619,2025-12-12 00:00:19,Pittsburgh Steelers,away,0.29,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765540817,2025-12-12 12:00:17,Detroit Lions,home,0.71,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765540823,2025-12-12 12:00:23,Pittsburgh Steelers,away,0.29,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765584017,2025-12-13 00:00:17,Detroit Lions,home,0.7,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765584023,2025-12-13 00:00:23,Pittsburgh Steelers,away,0.3,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765627219,2025-12-13 12:00:19,Detroit Lions,home,0.7,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765627225,2025-12-13 12:00:25,Pittsburgh Steelers,away,0.3,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765670418,2025-12-14 00:00:18,Detroit Lions,home,0.7,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765670424,2025-12-14 00:00:24,Pittsburgh Steelers,away,0.3,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765713618,2025-12-14 12:00:18,Detroit Lions,home,0.715,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765713624,2025-12-14 12:00:24,Pittsburgh Steelers,away,0.285,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765756820,2025-12-15 00:00:20,Detroit Lions,home,0.72,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765756827,2025-12-15 00:00:27,Pittsburgh Steelers,away,0.28,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765800017,2025-12-15 12:00:17,Detroit Lions,home,0.735,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765800022,2025-12-15 12:00:22,Pittsburgh Steelers,away,0.265,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765843216,2025-12-16 00:00:16,Detroit Lions,home,0.745,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765843222,2025-12-16 00:00:22,Pittsburgh Steelers,away,0.255,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765886430,2025-12-16 12:00:30,Detroit Lions,home,0.725,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765886436,2025-12-16 12:00:36,Pittsburgh Steelers,away,0.275,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765929613,2025-12-17 00:00:13,Detroit Lions,home,0.745,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765929619,2025-12-17 00:00:19,Pittsburgh Steelers,away,0.255,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765929635,2025-12-17 00:00:35,Detroit Lions,home,0.745,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765929638,2025-12-17 00:00:38,Pittsburgh Steelers,away,0.255,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765972822,2025-12-17 12:00:22,Detroit Lions,home,0.735,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1765972836,2025-12-17 12:00:36,Pittsburgh Steelers,away,0.265,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766016025,2025-12-18 00:00:25,Detroit Lions,home,0.745,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766016029,2025-12-18 00:00:29,Pittsburgh Steelers,away,0.255,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766059216,2025-12-18 12:00:16,Detroit Lions,home,0.74,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766059221,2025-12-18 12:00:21,Pittsburgh Steelers,away,0.26,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766102416,2025-12-19 00:00:16,Detroit Lions,home,0.74,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766102420,2025-12-19 00:00:20,Pittsburgh Steelers,away,0.26,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766145617,2025-12-19 12:00:17,Detroit Lions,home,0.735,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766145623,2025-12-19 12:00:23,Pittsburgh Steelers,away,0.265,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766188816,2025-12-20 00:00:16,Detroit Lions,home,0.74,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766188821,2025-12-20 00:00:21,Pittsburgh Steelers,away,0.26,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766232019,2025-12-20 12:00:19,Detroit Lions,home,0.745,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766232025,2025-12-20 12:00:25,Pittsburgh Steelers,away,0.255,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766275216,2025-12-21 00:00:16,Detroit Lions,home,0.74,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766275221,2025-12-21 00:00:21,Pittsburgh Steelers,away,0.26,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766318416,2025-12-21 12:00:16,Detroit Lions,home,0.745,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766318422,2025-12-21 12:00:22,Pittsburgh Steelers,away,0.255,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766361616,2025-12-22 00:00:16,Detroit Lions,home,0.175,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
1766361621,2025-12-22 00:00:21,Pittsburgh Steelers,away,0.825,16,2025-12-21,Pittsburgh Steelers,Detroit Lions
