timestamp,datetime,team,side,probability,week,date,away_team,home_team
1764028823,2025-11-25 00:00:23,Atlanta Falcons,home,0.5,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764028826,2025-11-25 00:00:26,Seattle Seahawks,away,0.5,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764072032,2025-11-25 12:00:32,Atlanta Falcons,home,0.275,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764072035,2025-11-25 12:00:35,Seattle Seahawks,away,0.725,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764115219,2025-11-26 00:00:19,Atlanta Falcons,home,0.31,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764115220,2025-11-26 00:00:20,Seattle Seahawks,away,0.69,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764158446,2025-11-26 12:00:46,Atlanta Falcons,home,0.505,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764158451,2025-11-26 12:00:51,Seattle Seahawks,away,0.495,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764201624,2025-11-27 00:00:24,Atlanta Falcons,home,0.21,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764201627,2025-11-27 00:00:27,Seattle Seahawks,away,0.79,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764244837,2025-11-27 12:00:37,Atlanta Falcons,home,0.21,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764244842,2025-11-27 12:00:42,Seattle Seahawks,away,0.79,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764288022,2025-11-28 00:00:22,Atlanta Falcons,home,0.225,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764288024,2025-11-28 00:00:24,Seattle Seahawks,away,0.775,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764331235,2025-11-28 12:00:35,Atlanta Falcons,home,0.22,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764331242,2025-11-28 12:00:42,Seattle Seahawks,away,0.78,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764374430,2025-11-29 00:00:30,Atlanta Falcons,home,0.225,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764374434,2025-11-29 00:00:34,Seattle Seahawks,away,0.775,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764417637,2025-11-29 12:00:37,Atlanta Falcons,home,0.225,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764417643,2025-11-29 12:00:43,Seattle Seahawks,away,0.775,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764460822,2025-11-30 00:00:22,Atlanta Falcons,home,0.22,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764460825,2025-11-30 00:00:25,Seattle Seahawks,away,0.78,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764547226,2025-12-01 00:00:26,Atlanta Falcons,home,0.225,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764547230,2025-12-01 00:00:30,Seattle Seahawks,away,0.775,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764590442,2025-12-01 12:00:42,Atlanta Falcons,home,0.22,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764590447,2025-12-01 12:00:47,Seattle Seahawks,away,0.78,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764633617,2025-12-02 00:00:17,Atlanta Falcons,home,0.235,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764633618,2025-12-02 00:00:18,Seattle Seahawks,away,0.765,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764676832,2025-12-02 12:00:32,Atlanta Falcons,home,0.235,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764676836,2025-12-02 12:00:36,Seattle Seahawks,away,0.765,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764720027,2025-12-03 00:00:27,Atlanta Falcons,home,0.235,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764720029,2025-12-03 00:00:29,Seattle Seahawks,away,0.765,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764763236,2025-12-03 12:00:36,Atlanta Falcons,home,0.24,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764763240,2025-12-03 12:00:40,Seattle Seahawks,away,0.76,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764806417,2025-12-04 00:00:17,Atlanta Falcons,home,0.24,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764806418,2025-12-04 00:00:18,Seattle Seahawks,away,0.76,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764849636,2025-12-04 12:00:36,Atlanta Falcons,home,0.245,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764849640,2025-12-04 12:00:40,Seattle Seahawks,away,0.755,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764892819,2025-12-05 00:00:19,Atlanta Falcons,home,0.245,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764892821,2025-12-05 00:00:21,Seattle Seahawks,away,0.755,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764936022,2025-12-05 12:00:22,Atlanta Falcons,home,0.245,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764936024,2025-12-05 12:00:24,Seattle Seahawks,away,0.755,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764979220,2025-12-06 00:00:20,Atlanta Falcons,home,0.245,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1764979222,2025-12-06 00:00:22,Seattle Seahawks,away,0.755,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1765022422,2025-12-06 12:00:22,Atlanta Falcons,home,0.245,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1765022423,2025-12-06 12:00:23,Seattle Seahawks,away,0.755,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1765065633,2025-12-07 00:00:33,Atlanta Falcons,home,0.255,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1765065635,2025-12-07 00:00:35,Seattle Seahawks,away,0.745,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1765108824,2025-12-07 12:00:24,Atlanta Falcons,home,0.255,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
1765108827,2025-12-07 12:00:27,Seattle Seahawks,away,0.745,14,2025-12-07,Seattle Seahawks,Atlanta Falcons
