timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765843219,2025-12-16 00:00:19,Seattle Seahawks,away,0.62,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1765843221,2025-12-16 00:00:21,Carolina Panthers,home,0.38,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1765886433,2025-12-16 12:00:33,Seattle Seahawks,away,0.62,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1765886434,2025-12-16 12:00:34,Carolina Panthers,home,0.38,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1765929616,2025-12-17 00:00:16,Seattle Seahawks,away,0.76,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1765929617,2025-12-17 00:00:17,Carolina Panthers,home,0.24,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1765929636,2025-12-17 00:00:36,Seattle Seahawks,away,0.76,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1765929637,2025-12-17 00:00:37,Carolina Panthers,home,0.24,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1765972829,2025-12-17 12:00:29,Seattle Seahawks,away,0.76,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1765972832,2025-12-17 12:00:32,Carolina Panthers,home,0.24,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1766016027,2025-12-18 00:00:27,Seattle Seahawks,away,0.76,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1766016028,2025-12-18 00:00:28,Carolina Panthers,home,0.24,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1766059218,2025-12-18 12:00:18,Seattle Seahawks,away,0.78,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1766059219,2025-12-18 12:00:19,Carolina Panthers,home,0.22,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1766102418,2025-12-19 00:00:18,Seattle Seahawks,away,0.78,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1766102419,2025-12-19 00:00:19,Carolina Panthers,home,0.22,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1766145620,2025-12-19 12:00:20,Seattle Seahawks,away,0.78,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1766145621,2025-12-19 12:00:21,Carolina Panthers,home,0.22,17,2025-12-28,Seattle Seahawks,Carolina Panthers
1766188818,2025-12-20 00:00:18,Seattle Seahawks,away,0.775,17,2025-12-28,Seattle Seahawks,Carolina Panthers
