timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759665607,2025-10-05 12:00:07,Jacksonville Jaguars,home,0.515,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759665608,2025-10-05 12:00:08,Seattle Seahawks,away,0.485,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759708803,2025-10-06 00:00:03,Jacksonville Jaguars,home,0.5,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759708805,2025-10-06 00:00:05,Seattle Seahawks,away,0.5,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759752010,2025-10-06 12:00:10,Jacksonville Jaguars,home,0.485,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759752012,2025-10-06 12:00:12,Seattle Seahawks,away,0.515,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759795205,2025-10-07 00:00:05,Seattle Seahawks,away,0.515,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759795210,2025-10-07 00:00:10,Jacksonville Jaguars,home,0.485,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759838406,2025-10-07 12:00:06,Jacksonville Jaguars,home,0.495,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759838418,2025-10-07 12:00:18,Seattle Seahawks,away,0.505,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759881610,2025-10-08 00:00:10,Seattle Seahawks,away,0.48,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759881612,2025-10-08 00:00:12,Jacksonville Jaguars,home,0.52,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759924817,2025-10-08 12:00:17,Seattle Seahawks,away,0.475,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759924818,2025-10-08 12:00:18,Jacksonville Jaguars,home,0.525,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759968007,2025-10-09 00:00:07,Jacksonville Jaguars,home,0.515,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1759968013,2025-10-09 00:00:13,Seattle Seahawks,away,0.485,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760011213,2025-10-09 12:00:13,Jacksonville Jaguars,home,0.505,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760011219,2025-10-09 12:00:19,Seattle Seahawks,away,0.495,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760054414,2025-10-10 00:00:14,Jacksonville Jaguars,home,0.495,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760054419,2025-10-10 00:00:19,Seattle Seahawks,away,0.505,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760097611,2025-10-10 12:00:11,Seattle Seahawks,away,0.505,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760097619,2025-10-10 12:00:19,Jacksonville Jaguars,home,0.495,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760140804,2025-10-11 00:00:04,Jacksonville Jaguars,home,0.495,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760140811,2025-10-11 00:00:11,Seattle Seahawks,away,0.505,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760184012,2025-10-11 12:00:12,Jacksonville Jaguars,home,0.495,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760184027,2025-10-11 12:00:27,Seattle Seahawks,away,0.505,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760227205,2025-10-12 00:00:05,Seattle Seahawks,away,0.515,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760227210,2025-10-12 00:00:10,Jacksonville Jaguars,home,0.485,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760270417,2025-10-12 12:00:17,Jacksonville Jaguars,home,0.485,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
1760270420,2025-10-12 12:00:20,Seattle Seahawks,away,0.515,6,2025-10-12,Seattle Seahawks,Jacksonville Jaguars
