timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757246402,2025-09-07 12:00:02,Seattle Seahawks,away,0.43,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757246408,2025-09-07 12:00:08,Pittsburgh Steelers,home,0.57,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757289618,2025-09-08 00:00:18,Seattle Seahawks,away,0.44,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757289620,2025-09-08 00:00:20,Pittsburgh Steelers,home,0.56,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757332810,2025-09-08 12:00:10,Seattle Seahawks,away,0.415,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757332810,2025-09-08 12:00:10,Pittsburgh Steelers,home,0.585,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757376003,2025-09-09 00:00:03,Seattle Seahawks,away,0.41,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757376003,2025-09-09 00:00:03,Pittsburgh Steelers,home,0.59,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757419220,2025-09-09 12:00:20,Pittsburgh Steelers,home,0.59,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757419226,2025-09-09 12:00:26,Seattle Seahawks,away,0.41,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757462406,2025-09-10 00:00:06,Pittsburgh Steelers,home,0.6,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757462411,2025-09-10 00:00:11,Seattle Seahawks,away,0.4,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757505612,2025-09-10 12:00:12,Pittsburgh Steelers,home,0.595,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757505617,2025-09-10 12:00:17,Seattle Seahawks,away,0.405,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757548806,2025-09-11 00:00:06,Seattle Seahawks,away,0.395,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757548808,2025-09-11 00:00:08,Pittsburgh Steelers,home,0.605,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757592007,2025-09-11 12:00:07,Pittsburgh Steelers,home,0.605,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757592014,2025-09-11 12:00:14,Seattle Seahawks,away,0.395,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757635224,2025-09-12 00:00:24,Pittsburgh Steelers,home,0.61,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757635229,2025-09-12 00:00:29,Seattle Seahawks,away,0.39,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757678427,2025-09-12 12:00:27,Seattle Seahawks,away,0.39,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757678435,2025-09-12 12:00:35,Pittsburgh Steelers,home,0.61,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757721607,2025-09-13 00:00:07,Seattle Seahawks,away,0.395,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757721610,2025-09-13 00:00:10,Pittsburgh Steelers,home,0.605,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757764824,2025-09-13 12:00:24,Pittsburgh Steelers,home,0.61,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757764830,2025-09-13 12:00:30,Seattle Seahawks,away,0.39,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757808005,2025-09-14 00:00:05,Seattle Seahawks,away,0.395,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757808019,2025-09-14 00:00:19,Pittsburgh Steelers,home,0.605,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757851222,2025-09-14 12:00:22,Seattle Seahawks,away,0.385,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
1757851222,2025-09-14 12:00:22,Pittsburgh Steelers,home,0.615,2,2025-09-14,Seattle Seahawks,Pittsburgh Steelers
