timestamp,datetime,team,side,probability,week,date,away_team,home_team
1766361617,2025-12-22 00:00:17,Seattle Seahawks,away,0.54,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766404817,2025-12-22 12:00:17,Seattle Seahawks,away,0.545,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766448019,2025-12-23 00:00:19,Seattle Seahawks,away,0.545,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766491221,2025-12-23 12:00:21,Seattle Seahawks,away,0.545,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766534418,2025-12-24 00:00:18,Seattle Seahawks,away,0.545,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766577618,2025-12-24 12:00:18,Seattle Seahawks,away,0.545,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766620828,2025-12-25 00:00:28,Seattle Seahawks,away,0.54,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766664019,2025-12-25 12:00:19,Seattle Seahawks,away,0.54,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766707213,2025-12-26 00:00:13,Seattle Seahawks,away,0.53,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766750417,2025-12-26 12:00:17,Seattle Seahawks,away,0.53,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766793617,2025-12-27 00:00:17,Seattle Seahawks,away,0.53,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766836818,2025-12-27 12:00:18,Seattle Seahawks,away,0.53,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766880018,2025-12-28 00:00:18,Seattle Seahawks,away,0.545,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766923218,2025-12-28 12:00:18,Seattle Seahawks,away,0.55,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766966434,2025-12-29 00:00:34,Seattle Seahawks,away,0.55,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767009618,2025-12-29 12:00:18,Seattle Seahawks,away,0.51,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767052821,2025-12-30 00:00:21,Seattle Seahawks,away,0.52,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767096021,2025-12-30 12:00:21,Seattle Seahawks,away,0.52,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767139218,2025-12-31 00:00:18,Seattle Seahawks,away,0.525,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767182419,2025-12-31 12:00:19,Seattle Seahawks,away,0.525,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767225619,2026-01-01 00:00:19,Seattle Seahawks,away,0.525,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767268820,2026-01-01 12:00:20,Seattle Seahawks,away,0.525,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767312017,2026-01-02 00:00:17,Seattle Seahawks,away,0.535,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767355218,2026-01-02 12:00:18,Seattle Seahawks,away,0.535,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767398416,2026-01-03 00:00:16,Seattle Seahawks,away,0.565,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767441618,2026-01-03 12:00:18,Seattle Seahawks,away,0.565,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767484818,2026-01-04 00:00:18,Seattle Seahawks,away,0.585,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766361611,2025-12-22 00:00:11,San Francisco 49ers,home,0.46,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766404810,2025-12-22 12:00:10,San Francisco 49ers,home,0.455,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766448012,2025-12-23 00:00:12,San Francisco 49ers,home,0.455,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766491213,2025-12-23 12:00:13,San Francisco 49ers,home,0.455,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766534412,2025-12-24 00:00:12,San Francisco 49ers,home,0.455,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766577611,2025-12-24 12:00:11,San Francisco 49ers,home,0.455,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766620822,2025-12-25 00:00:22,San Francisco 49ers,home,0.46,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766664013,2025-12-25 12:00:13,San Francisco 49ers,home,0.46,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766707209,2025-12-26 00:00:09,San Francisco 49ers,home,0.47,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766750411,2025-12-26 12:00:11,San Francisco 49ers,home,0.47,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766793613,2025-12-27 00:00:13,San Francisco 49ers,home,0.47,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766836812,2025-12-27 12:00:12,San Francisco 49ers,home,0.47,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766880013,2025-12-28 00:00:13,San Francisco 49ers,home,0.455,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766923212,2025-12-28 12:00:12,San Francisco 49ers,home,0.45,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1766966429,2025-12-29 00:00:29,San Francisco 49ers,home,0.45,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767009612,2025-12-29 12:00:12,San Francisco 49ers,home,0.49,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767052815,2025-12-30 00:00:15,San Francisco 49ers,home,0.48,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767096013,2025-12-30 12:00:13,San Francisco 49ers,home,0.48,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767139212,2025-12-31 00:00:12,San Francisco 49ers,home,0.475,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767182412,2025-12-31 12:00:12,San Francisco 49ers,home,0.475,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767225612,2026-01-01 00:00:12,San Francisco 49ers,home,0.475,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767268813,2026-01-01 12:00:13,San Francisco 49ers,home,0.475,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
1767312012,2026-01-02 00:00:12,San Francisco 49ers,home,0.465,18,2026-01-03,Seattle Seahawks,San Francisco 49ers
