timestamp,datetime,team,side,probability,week,date,away_team,home_team
1761480013,2025-10-26 12:00:13,Washington Commanders,home,0.42,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761480025,2025-10-26 12:00:25,Seattle Seahawks,away,0.58,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761523210,2025-10-27 00:00:10,Washington Commanders,home,0.41,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761523216,2025-10-27 00:00:16,Seattle Seahawks,away,0.59,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761566412,2025-10-27 12:00:12,Washington Commanders,home,0.375,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761566420,2025-10-27 12:00:20,Seattle Seahawks,away,0.625,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761609612,2025-10-28 00:00:12,Washington Commanders,home,0.355,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761609620,2025-10-28 00:00:20,Seattle Seahawks,away,0.645,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761652810,2025-10-28 12:00:10,Washington Commanders,home,0.37,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761652819,2025-10-28 12:00:19,Seattle Seahawks,away,0.63,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761696012,2025-10-29 00:00:12,Washington Commanders,home,0.395,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761696019,2025-10-29 00:00:19,Seattle Seahawks,away,0.605,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761782411,2025-10-30 00:00:11,Washington Commanders,home,0.395,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761782419,2025-10-30 00:00:19,Seattle Seahawks,away,0.605,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761825611,2025-10-30 12:00:11,Washington Commanders,home,0.405,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761825622,2025-10-30 12:00:22,Seattle Seahawks,away,0.595,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761868808,2025-10-31 00:00:08,Washington Commanders,home,0.4,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761868813,2025-10-31 00:00:13,Seattle Seahawks,away,0.6,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761912012,2025-10-31 12:00:12,Washington Commanders,home,0.405,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761912022,2025-10-31 12:00:22,Seattle Seahawks,away,0.595,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761955211,2025-11-01 00:00:11,Washington Commanders,home,0.405,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761955218,2025-11-01 00:00:18,Seattle Seahawks,away,0.595,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761998413,2025-11-01 12:00:13,Washington Commanders,home,0.405,9,2025-11-02,Seattle Seahawks,Washington Commanders
1761998425,2025-11-01 12:00:25,Seattle Seahawks,away,0.595,9,2025-11-02,Seattle Seahawks,Washington Commanders
1762041610,2025-11-02 00:00:10,Washington Commanders,home,0.405,9,2025-11-02,Seattle Seahawks,Washington Commanders
1762041615,2025-11-02 00:00:15,Seattle Seahawks,away,0.595,9,2025-11-02,Seattle Seahawks,Washington Commanders
1762084812,2025-11-02 12:00:12,Washington Commanders,home,0.405,9,2025-11-02,Seattle Seahawks,Washington Commanders
1762084822,2025-11-02 12:00:22,Seattle Seahawks,away,0.595,9,2025-11-02,Seattle Seahawks,Washington Commanders
1762128009,2025-11-03 00:00:09,Washington Commanders,home,0.425,9,2025-11-02,Seattle Seahawks,Washington Commanders
1762128017,2025-11-03 00:00:17,Seattle Seahawks,away,0.575,9,2025-11-02,Seattle Seahawks,Washington Commanders
