timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760875209,2025-10-19 12:00:09,San Francisco 49ers,away,0.465,8,2025-10-26,San Francisco 49ers,Houston Texans
1760875227,2025-10-19 12:00:27,Houston Texans,home,0.535,8,2025-10-26,San Francisco 49ers,Houston Texans
1760918409,2025-10-20 00:00:09,Houston Texans,home,0.535,8,2025-10-26,San Francisco 49ers,Houston Texans
1760918415,2025-10-20 00:00:15,San Francisco 49ers,away,0.465,8,2025-10-26,San Francisco 49ers,Houston Texans
1760961619,2025-10-20 12:00:19,Houston Texans,home,0.51,8,2025-10-26,San Francisco 49ers,Houston Texans
1760961625,2025-10-20 12:00:25,San Francisco 49ers,away,0.49,8,2025-10-26,San Francisco 49ers,Houston Texans
1761004805,2025-10-21 00:00:05,San Francisco 49ers,away,0.455,8,2025-10-26,San Francisco 49ers,Houston Texans
1761004818,2025-10-21 00:00:18,Houston Texans,home,0.545,8,2025-10-26,San Francisco 49ers,Houston Texans
1761048008,2025-10-21 12:00:08,San Francisco 49ers,away,0.56,8,2025-10-26,San Francisco 49ers,Houston Texans
1761048020,2025-10-21 12:00:20,Houston Texans,home,0.44,8,2025-10-26,San Francisco 49ers,Houston Texans
1761091203,2025-10-22 00:00:03,Houston Texans,home,0.52,8,2025-10-26,San Francisco 49ers,Houston Texans
1761091220,2025-10-22 00:00:20,San Francisco 49ers,away,0.48,8,2025-10-26,San Francisco 49ers,Houston Texans
1761134404,2025-10-22 12:00:04,Houston Texans,home,0.515,8,2025-10-26,San Francisco 49ers,Houston Texans
1761134428,2025-10-22 12:00:28,San Francisco 49ers,away,0.485,8,2025-10-26,San Francisco 49ers,Houston Texans
1761177605,2025-10-23 00:00:05,Houston Texans,home,0.525,8,2025-10-26,San Francisco 49ers,Houston Texans
1761177610,2025-10-23 00:00:10,San Francisco 49ers,away,0.475,8,2025-10-26,San Francisco 49ers,Houston Texans
1761220804,2025-10-23 12:00:04,Houston Texans,home,0.535,8,2025-10-26,San Francisco 49ers,Houston Texans
1761220818,2025-10-23 12:00:18,San Francisco 49ers,away,0.465,8,2025-10-26,San Francisco 49ers,Houston Texans
1761264004,2025-10-24 00:00:04,Houston Texans,home,0.555,8,2025-10-26,San Francisco 49ers,Houston Texans
1761264017,2025-10-24 00:00:17,San Francisco 49ers,away,0.445,8,2025-10-26,San Francisco 49ers,Houston Texans
1761307205,2025-10-24 12:00:05,Houston Texans,home,0.555,8,2025-10-26,San Francisco 49ers,Houston Texans
1761307222,2025-10-24 12:00:22,San Francisco 49ers,away,0.445,8,2025-10-26,San Francisco 49ers,Houston Texans
1761350406,2025-10-25 00:00:06,Houston Texans,home,0.555,8,2025-10-26,San Francisco 49ers,Houston Texans
1761350415,2025-10-25 00:00:15,San Francisco 49ers,away,0.445,8,2025-10-26,San Francisco 49ers,Houston Texans
1761393604,2025-10-25 12:00:04,Houston Texans,home,0.545,8,2025-10-26,San Francisco 49ers,Houston Texans
1761393622,2025-10-25 12:00:22,San Francisco 49ers,away,0.455,8,2025-10-26,San Francisco 49ers,Houston Texans
1761436804,2025-10-26 00:00:04,Houston Texans,home,0.555,8,2025-10-26,San Francisco 49ers,Houston Texans
1761436818,2025-10-26 00:00:18,San Francisco 49ers,away,0.445,8,2025-10-26,San Francisco 49ers,Houston Texans
1761480006,2025-10-26 12:00:06,Houston Texans,home,0.545,8,2025-10-26,San Francisco 49ers,Houston Texans
1761480024,2025-10-26 12:00:24,San Francisco 49ers,away,0.455,8,2025-10-26,San Francisco 49ers,Houston Texans
