timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757246415,2025-09-07 12:00:15,San Francisco 49ers,away,0.755,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757246415,2025-09-07 12:00:15,New Orleans Saints,home,0.245,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757289609,2025-09-08 00:00:09,New Orleans Saints,home,0.27,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757289616,2025-09-08 00:00:16,San Francisco 49ers,away,0.73,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757332814,2025-09-08 12:00:14,San Francisco 49ers,away,0.73,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757332828,2025-09-08 12:00:28,New Orleans Saints,home,0.27,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757376005,2025-09-09 00:00:05,San Francisco 49ers,away,0.665,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757376013,2025-09-09 00:00:13,New Orleans Saints,home,0.335,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757419214,2025-09-09 12:00:14,New Orleans Saints,home,0.325,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757419222,2025-09-09 12:00:22,San Francisco 49ers,away,0.675,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757462403,2025-09-10 00:00:03,New Orleans Saints,home,0.325,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757462407,2025-09-10 00:00:07,San Francisco 49ers,away,0.675,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757505607,2025-09-10 12:00:07,New Orleans Saints,home,0.32,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757505614,2025-09-10 12:00:14,San Francisco 49ers,away,0.68,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757548808,2025-09-11 00:00:08,New Orleans Saints,home,0.395,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757548813,2025-09-11 00:00:13,San Francisco 49ers,away,0.605,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757592007,2025-09-11 12:00:07,San Francisco 49ers,away,0.61,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757592025,2025-09-11 12:00:25,New Orleans Saints,home,0.39,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757635212,2025-09-12 00:00:12,New Orleans Saints,home,0.39,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757635224,2025-09-12 00:00:24,San Francisco 49ers,away,0.61,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757678403,2025-09-12 12:00:03,New Orleans Saints,home,0.39,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757678411,2025-09-12 12:00:11,San Francisco 49ers,away,0.61,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757721603,2025-09-13 00:00:03,San Francisco 49ers,away,0.605,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757721611,2025-09-13 00:00:11,New Orleans Saints,home,0.395,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757764818,2025-09-13 12:00:18,San Francisco 49ers,away,0.605,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757764824,2025-09-13 12:00:24,New Orleans Saints,home,0.395,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757808015,2025-09-14 00:00:15,New Orleans Saints,home,0.415,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757808021,2025-09-14 00:00:21,San Francisco 49ers,away,0.585,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757851230,2025-09-14 12:00:30,San Francisco 49ers,away,0.595,2,2025-09-14,San Francisco 49ers,New Orleans Saints
1757851232,2025-09-14 12:00:32,New Orleans Saints,home,0.405,2,2025-09-14,San Francisco 49ers,New Orleans Saints
