timestamp,datetime,team,side,probability,week,date,away_team,home_team
1761480013,2025-10-26 12:00:13,San Francisco 49ers,away,0.59,9,2025-11-02,San Francisco 49ers,New York Giants
1761480017,2025-10-26 12:00:17,New York Giants,home,0.41,9,2025-11-02,San Francisco 49ers,New York Giants
1761523210,2025-10-27 00:00:10,San Francisco 49ers,away,0.59,9,2025-11-02,San Francisco 49ers,New York Giants
1761523212,2025-10-27 00:00:12,New York Giants,home,0.41,9,2025-11-02,San Francisco 49ers,New York Giants
1761566412,2025-10-27 12:00:12,San Francisco 49ers,away,0.59,9,2025-11-02,San Francisco 49ers,New York Giants
1761566414,2025-10-27 12:00:14,New York Giants,home,0.41,9,2025-11-02,San Francisco 49ers,New York Giants
1761609613,2025-10-28 00:00:13,San Francisco 49ers,away,0.585,9,2025-11-02,San Francisco 49ers,New York Giants
1761609614,2025-10-28 00:00:14,New York Giants,home,0.415,9,2025-11-02,San Francisco 49ers,New York Giants
1761652810,2025-10-28 12:00:10,San Francisco 49ers,away,0.585,9,2025-11-02,San Francisco 49ers,New York Giants
1761652813,2025-10-28 12:00:13,New York Giants,home,0.415,9,2025-11-02,San Francisco 49ers,New York Giants
1761696012,2025-10-29 00:00:12,San Francisco 49ers,away,0.585,9,2025-11-02,San Francisco 49ers,New York Giants
1761696013,2025-10-29 00:00:13,New York Giants,home,0.415,9,2025-11-02,San Francisco 49ers,New York Giants
1761782411,2025-10-30 00:00:11,San Francisco 49ers,away,0.575,9,2025-11-02,San Francisco 49ers,New York Giants
1761782413,2025-10-30 00:00:13,New York Giants,home,0.425,9,2025-11-02,San Francisco 49ers,New York Giants
1761825611,2025-10-30 12:00:11,San Francisco 49ers,away,0.58,9,2025-11-02,San Francisco 49ers,New York Giants
1761825614,2025-10-30 12:00:14,New York Giants,home,0.42,9,2025-11-02,San Francisco 49ers,New York Giants
1761868808,2025-10-31 00:00:08,San Francisco 49ers,away,0.575,9,2025-11-02,San Francisco 49ers,New York Giants
1761868809,2025-10-31 00:00:09,New York Giants,home,0.425,9,2025-11-02,San Francisco 49ers,New York Giants
1761912012,2025-10-31 12:00:12,San Francisco 49ers,away,0.585,9,2025-11-02,San Francisco 49ers,New York Giants
1761912015,2025-10-31 12:00:15,New York Giants,home,0.415,9,2025-11-02,San Francisco 49ers,New York Giants
1761955211,2025-11-01 00:00:11,San Francisco 49ers,away,0.575,9,2025-11-02,San Francisco 49ers,New York Giants
1761955213,2025-11-01 00:00:13,New York Giants,home,0.425,9,2025-11-02,San Francisco 49ers,New York Giants
1761998413,2025-11-01 12:00:13,San Francisco 49ers,away,0.575,9,2025-11-02,San Francisco 49ers,New York Giants
1761998415,2025-11-01 12:00:15,New York Giants,home,0.425,9,2025-11-02,San Francisco 49ers,New York Giants
1762041610,2025-11-02 00:00:10,San Francisco 49ers,away,0.575,9,2025-11-02,San Francisco 49ers,New York Giants
1762041611,2025-11-02 00:00:11,New York Giants,home,0.425,9,2025-11-02,San Francisco 49ers,New York Giants
1762084811,2025-11-02 12:00:11,San Francisco 49ers,away,0.565,9,2025-11-02,San Francisco 49ers,New York Giants
1762084814,2025-11-02 12:00:14,New York Giants,home,0.435,9,2025-11-02,San Francisco 49ers,New York Giants
