timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760875213,2025-10-19 12:00:13,Tampa Bay Buccaneers,away,0.675,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1760875216,2025-10-19 12:00:16,New Orleans Saints,home,0.325,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1760918418,2025-10-20 00:00:18,Tampa Bay Buccaneers,away,0.71,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1760918420,2025-10-20 00:00:20,New Orleans Saints,home,0.29,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1760961605,2025-10-20 12:00:05,New Orleans Saints,home,0.285,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1760961627,2025-10-20 12:00:27,Tampa Bay Buccaneers,away,0.715,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761004808,2025-10-21 00:00:08,Tampa Bay Buccaneers,away,0.705,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761004811,2025-10-21 00:00:11,New Orleans Saints,home,0.295,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761048026,2025-10-21 12:00:26,Tampa Bay Buccaneers,away,0.685,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761048028,2025-10-21 12:00:28,New Orleans Saints,home,0.315,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761091205,2025-10-22 00:00:05,New Orleans Saints,home,0.335,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761091225,2025-10-22 00:00:25,Tampa Bay Buccaneers,away,0.665,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761134406,2025-10-22 12:00:06,New Orleans Saints,home,0.335,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761134434,2025-10-22 12:00:34,Tampa Bay Buccaneers,away,0.665,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761177605,2025-10-23 00:00:05,New Orleans Saints,home,0.335,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761177612,2025-10-23 00:00:12,Tampa Bay Buccaneers,away,0.665,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761220805,2025-10-23 12:00:05,New Orleans Saints,home,0.345,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761220823,2025-10-23 12:00:23,Tampa Bay Buccaneers,away,0.655,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761264006,2025-10-24 00:00:06,New Orleans Saints,home,0.335,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761264021,2025-10-24 00:00:21,Tampa Bay Buccaneers,away,0.665,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761307205,2025-10-24 12:00:05,New Orleans Saints,home,0.34,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761307227,2025-10-24 12:00:27,Tampa Bay Buccaneers,away,0.66,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761350406,2025-10-25 00:00:06,New Orleans Saints,home,0.355,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761350419,2025-10-25 00:00:19,Tampa Bay Buccaneers,away,0.645,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761393607,2025-10-25 12:00:07,New Orleans Saints,home,0.345,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761393628,2025-10-25 12:00:28,Tampa Bay Buccaneers,away,0.655,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761436806,2025-10-26 00:00:06,New Orleans Saints,home,0.34,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761436823,2025-10-26 00:00:23,Tampa Bay Buccaneers,away,0.66,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761480006,2025-10-26 12:00:06,New Orleans Saints,home,0.335,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761480031,2025-10-26 12:00:31,Tampa Bay Buccaneers,away,0.665,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761523205,2025-10-27 00:00:05,New Orleans Saints,home,0.0005,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
1761523220,2025-10-27 00:00:20,Tampa Bay Buccaneers,away,0.9995,8,2025-10-26,Tampa Bay Buccaneers,New Orleans Saints
