timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759060812,2025-09-28 12:00:12,Arizona Cardinals,home,0.75,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759060815,2025-09-28 12:00:15,Tennessee Titans,away,0.25,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759104008,2025-09-29 00:00:08,Arizona Cardinals,home,0.8,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759104009,2025-09-29 00:00:09,Tennessee Titans,away,0.2,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759147210,2025-09-29 12:00:10,Arizona Cardinals,home,0.82,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759147211,2025-09-29 12:00:11,Tennessee Titans,away,0.18,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759190404,2025-09-30 00:00:04,Tennessee Titans,away,0.185,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759190410,2025-09-30 00:00:10,Arizona Cardinals,home,0.815,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759233602,2025-09-30 12:00:02,Arizona Cardinals,home,0.805,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759233614,2025-09-30 12:00:14,Tennessee Titans,away,0.195,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759276804,2025-10-01 00:00:04,Tennessee Titans,away,0.215,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759276807,2025-10-01 00:00:07,Arizona Cardinals,home,0.785,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759320007,2025-10-01 12:00:07,Arizona Cardinals,home,0.785,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759320014,2025-10-01 12:00:14,Tennessee Titans,away,0.215,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759363203,2025-10-02 00:00:03,Arizona Cardinals,home,0.785,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759363209,2025-10-02 00:00:09,Tennessee Titans,away,0.215,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759406409,2025-10-02 12:00:09,Arizona Cardinals,home,0.78,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759406412,2025-10-02 12:00:12,Tennessee Titans,away,0.22,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759449602,2025-10-03 00:00:02,Arizona Cardinals,home,0.785,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759449603,2025-10-03 00:00:03,Tennessee Titans,away,0.215,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759492809,2025-10-03 12:00:09,Tennessee Titans,away,0.215,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759492814,2025-10-03 12:00:14,Arizona Cardinals,home,0.785,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759536005,2025-10-04 00:00:05,Tennessee Titans,away,0.215,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759536008,2025-10-04 00:00:08,Arizona Cardinals,home,0.785,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759579203,2025-10-04 12:00:03,Arizona Cardinals,home,0.785,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759579209,2025-10-04 12:00:09,Tennessee Titans,away,0.215,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759622406,2025-10-05 00:00:06,Arizona Cardinals,home,0.785,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759622409,2025-10-05 00:00:09,Tennessee Titans,away,0.215,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759665607,2025-10-05 12:00:07,Arizona Cardinals,home,0.785,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759665607,2025-10-05 12:00:07,Tennessee Titans,away,0.215,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759708803,2025-10-06 00:00:03,Tennessee Titans,away,0.9995,5,2025-10-05,Tennessee Titans,Arizona Cardinals
1759708804,2025-10-06 00:00:04,Arizona Cardinals,home,0.0005,5,2025-10-05,Tennessee Titans,Arizona Cardinals
