timestamp,datetime,team,side,probability,week,date,away_team,home_team
1756641630,2025-08-31 12:00:30,Tennessee Titans,away,0.23,1,2025-09-07,Tennessee Titans,Denver Broncos
1756641633,2025-08-31 12:00:33,Denver Broncos,home,0.77,1,2025-09-07,Tennessee Titans,Denver Broncos
1756684812,2025-09-01 00:00:12,Tennessee Titans,away,0.23,1,2025-09-07,Tennessee Titans,Denver Broncos
1756684813,2025-09-01 00:00:13,Denver Broncos,home,0.77,1,2025-09-07,Tennessee Titans,Denver Broncos
1756728017,2025-09-01 12:00:17,Denver Broncos,home,0.77,1,2025-09-07,Tennessee Titans,Denver Broncos
1756728029,2025-09-01 12:00:29,Tennessee Titans,away,0.23,1,2025-09-07,Tennessee Titans,Denver Broncos
1756771206,2025-09-02 00:00:06,Tennessee Titans,away,0.22,1,2025-09-07,Tennessee Titans,Denver Broncos
1756771214,2025-09-02 00:00:14,Denver Broncos,home,0.78,1,2025-09-07,Tennessee Titans,Denver Broncos
1756814405,2025-09-02 12:00:05,Tennessee Titans,away,0.22,1,2025-09-07,Tennessee Titans,Denver Broncos
1756814420,2025-09-02 12:00:20,Denver Broncos,home,0.78,1,2025-09-07,Tennessee Titans,Denver Broncos
1756857609,2025-09-03 00:00:09,Denver Broncos,home,0.785,1,2025-09-07,Tennessee Titans,Denver Broncos
1756857614,2025-09-03 00:00:14,Tennessee Titans,away,0.215,1,2025-09-07,Tennessee Titans,Denver Broncos
1756900814,2025-09-03 12:00:14,Denver Broncos,home,0.78,1,2025-09-07,Tennessee Titans,Denver Broncos
1756900816,2025-09-03 12:00:16,Tennessee Titans,away,0.22,1,2025-09-07,Tennessee Titans,Denver Broncos
1756944005,2025-09-04 00:00:05,Denver Broncos,home,0.79,1,2025-09-07,Tennessee Titans,Denver Broncos
1756944006,2025-09-04 00:00:06,Tennessee Titans,away,0.21,1,2025-09-07,Tennessee Titans,Denver Broncos
1756987202,2025-09-04 12:00:02,Tennessee Titans,away,0.215,1,2025-09-07,Tennessee Titans,Denver Broncos
1756987202,2025-09-04 12:00:02,Denver Broncos,home,0.785,1,2025-09-07,Tennessee Titans,Denver Broncos
1757030410,2025-09-05 00:00:10,Denver Broncos,home,0.785,1,2025-09-07,Tennessee Titans,Denver Broncos
1757030410,2025-09-05 00:00:10,Tennessee Titans,away,0.215,1,2025-09-07,Tennessee Titans,Denver Broncos
1757073603,2025-09-05 12:00:03,Denver Broncos,home,0.785,1,2025-09-07,Tennessee Titans,Denver Broncos
1757073606,2025-09-05 12:00:06,Tennessee Titans,away,0.215,1,2025-09-07,Tennessee Titans,Denver Broncos
1757116816,2025-09-06 00:00:16,Denver Broncos,home,0.785,1,2025-09-07,Tennessee Titans,Denver Broncos
1757116817,2025-09-06 00:00:17,Tennessee Titans,away,0.215,1,2025-09-07,Tennessee Titans,Denver Broncos
1757160002,2025-09-06 12:00:02,Denver Broncos,home,0.785,1,2025-09-07,Tennessee Titans,Denver Broncos
1757160011,2025-09-06 12:00:11,Tennessee Titans,away,0.215,1,2025-09-07,Tennessee Titans,Denver Broncos
1757203206,2025-09-07 00:00:06,Tennessee Titans,away,0.215,1,2025-09-07,Tennessee Titans,Denver Broncos
1757203214,2025-09-07 00:00:14,Denver Broncos,home,0.785,1,2025-09-07,Tennessee Titans,Denver Broncos
1757246417,2025-09-07 12:00:17,Denver Broncos,home,0.785,1,2025-09-07,Tennessee Titans,Denver Broncos
1757246431,2025-09-07 12:00:31,Tennessee Titans,away,0.215,1,2025-09-07,Tennessee Titans,Denver Broncos
1757289606,2025-09-08 00:00:06,Tennessee Titans,away,0.0005,1,2025-09-07,Tennessee Titans,Denver Broncos
1757289613,2025-09-08 00:00:13,Denver Broncos,home,0.9995,1,2025-09-07,Tennessee Titans,Denver Broncos
