timestamp,datetime,team,side,probability,week,date,away_team,home_team
1758456005,2025-09-21 12:00:05,Tennessee Titans,away,0.22,4,2025-09-28,Tennessee Titans,Houston Texans
1758456014,2025-09-21 12:00:14,Houston Texans,home,0.78,4,2025-09-28,Tennessee Titans,Houston Texans
1758499206,2025-09-22 00:00:06,Tennessee Titans,away,0.215,4,2025-09-28,Tennessee Titans,Houston Texans
1758499211,2025-09-22 00:00:11,Houston Texans,home,0.785,4,2025-09-28,Tennessee Titans,Houston Texans
1758542417,2025-09-22 12:00:17,Tennessee Titans,away,0.245,4,2025-09-28,Tennessee Titans,Houston Texans
1758542417,2025-09-22 12:00:17,Houston Texans,home,0.755,4,2025-09-28,Tennessee Titans,Houston Texans
1758585609,2025-09-23 00:00:09,Tennessee Titans,away,0.24,4,2025-09-28,Tennessee Titans,Houston Texans
1758585610,2025-09-23 00:00:10,Houston Texans,home,0.76,4,2025-09-28,Tennessee Titans,Houston Texans
1758628830,2025-09-23 12:00:30,Tennessee Titans,away,0.24,4,2025-09-28,Tennessee Titans,Houston Texans
1758628830,2025-09-23 12:00:30,Houston Texans,home,0.76,4,2025-09-28,Tennessee Titans,Houston Texans
1758672016,2025-09-24 00:00:16,Tennessee Titans,away,0.245,4,2025-09-28,Tennessee Titans,Houston Texans
1758672019,2025-09-24 00:00:19,Houston Texans,home,0.755,4,2025-09-28,Tennessee Titans,Houston Texans
1758715212,2025-09-24 12:00:12,Houston Texans,home,0.765,4,2025-09-28,Tennessee Titans,Houston Texans
1758715214,2025-09-24 12:00:14,Tennessee Titans,away,0.235,4,2025-09-28,Tennessee Titans,Houston Texans
1758758406,2025-09-25 00:00:06,Tennessee Titans,away,0.235,4,2025-09-28,Tennessee Titans,Houston Texans
1758758406,2025-09-25 00:00:06,Houston Texans,home,0.765,4,2025-09-28,Tennessee Titans,Houston Texans
1758801612,2025-09-25 12:00:12,Tennessee Titans,away,0.235,4,2025-09-28,Tennessee Titans,Houston Texans
1758801618,2025-09-25 12:00:18,Houston Texans,home,0.765,4,2025-09-28,Tennessee Titans,Houston Texans
1758844808,2025-09-26 00:00:08,Tennessee Titans,away,0.235,4,2025-09-28,Tennessee Titans,Houston Texans
1758844812,2025-09-26 00:00:12,Houston Texans,home,0.765,4,2025-09-28,Tennessee Titans,Houston Texans
1758888010,2025-09-26 12:00:10,Tennessee Titans,away,0.235,4,2025-09-28,Tennessee Titans,Houston Texans
1758888013,2025-09-26 12:00:13,Houston Texans,home,0.765,4,2025-09-28,Tennessee Titans,Houston Texans
1758931206,2025-09-27 00:00:06,Tennessee Titans,away,0.23,4,2025-09-28,Tennessee Titans,Houston Texans
1758931208,2025-09-27 00:00:08,Houston Texans,home,0.77,4,2025-09-28,Tennessee Titans,Houston Texans
1758974403,2025-09-27 12:00:03,Houston Texans,home,0.775,4,2025-09-28,Tennessee Titans,Houston Texans
1758974416,2025-09-27 12:00:16,Tennessee Titans,away,0.225,4,2025-09-28,Tennessee Titans,Houston Texans
1759017603,2025-09-28 00:00:03,Houston Texans,home,0.775,4,2025-09-28,Tennessee Titans,Houston Texans
1759017614,2025-09-28 00:00:14,Tennessee Titans,away,0.225,4,2025-09-28,Tennessee Titans,Houston Texans
1759060803,2025-09-28 12:00:03,Tennessee Titans,away,0.225,4,2025-09-28,Tennessee Titans,Houston Texans
1759060804,2025-09-28 12:00:04,Houston Texans,home,0.775,4,2025-09-28,Tennessee Titans,Houston Texans
