timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760875209,2025-10-19 12:00:09,Tennessee Titans,away,0.545,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1760875222,2025-10-19 12:00:22,Indianapolis Colts,home,0.455,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1760918415,2025-10-20 00:00:15,Tennessee Titans,away,0.13,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1760918424,2025-10-20 00:00:24,Indianapolis Colts,home,0.87,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1760961612,2025-10-20 12:00:12,Indianapolis Colts,home,0.905,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1760961624,2025-10-20 12:00:24,Tennessee Titans,away,0.095,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761004805,2025-10-21 00:00:05,Tennessee Titans,away,0.095,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761004815,2025-10-21 00:00:15,Indianapolis Colts,home,0.905,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761048023,2025-10-21 12:00:23,Tennessee Titans,away,0.105,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761048025,2025-10-21 12:00:25,Indianapolis Colts,home,0.895,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761091225,2025-10-22 00:00:25,Tennessee Titans,away,0.105,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761091226,2025-10-22 00:00:26,Indianapolis Colts,home,0.895,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761134434,2025-10-22 12:00:34,Tennessee Titans,away,0.105,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761134435,2025-10-22 12:00:35,Indianapolis Colts,home,0.895,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761177612,2025-10-23 00:00:12,Tennessee Titans,away,0.105,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761177612,2025-10-23 00:00:12,Indianapolis Colts,home,0.895,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761220823,2025-10-23 12:00:23,Tennessee Titans,away,0.105,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761220824,2025-10-23 12:00:24,Indianapolis Colts,home,0.895,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761264021,2025-10-24 00:00:21,Indianapolis Colts,home,0.905,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761264021,2025-10-24 00:00:21,Tennessee Titans,away,0.095,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761307227,2025-10-24 12:00:27,Tennessee Titans,away,0.095,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761307228,2025-10-24 12:00:28,Indianapolis Colts,home,0.905,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761350419,2025-10-25 00:00:19,Indianapolis Colts,home,0.905,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761350419,2025-10-25 00:00:19,Tennessee Titans,away,0.095,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761393628,2025-10-25 12:00:28,Tennessee Titans,away,0.095,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761393629,2025-10-25 12:00:29,Indianapolis Colts,home,0.905,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761436823,2025-10-26 00:00:23,Indianapolis Colts,home,0.905,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761436823,2025-10-26 00:00:23,Tennessee Titans,away,0.095,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761480030,2025-10-26 12:00:30,Tennessee Titans,away,0.095,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761480031,2025-10-26 12:00:31,Indianapolis Colts,home,0.905,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761523220,2025-10-27 00:00:20,Tennessee Titans,away,0.0005,8,2025-10-26,Tennessee Titans,Indianapolis Colts
1761523220,2025-10-27 00:00:20,Indianapolis Colts,home,0.9995,8,2025-10-26,Tennessee Titans,Indianapolis Colts
