timestamp,datetime,team,side,probability,week,date,away_team,home_team
1766361609,2025-12-22 00:00:09,Jacksonville Jaguars,home,0.745,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766361612,2025-12-22 00:00:12,Tennessee Titans,away,0.255,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766404808,2025-12-22 12:00:08,Jacksonville Jaguars,home,0.705,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766404811,2025-12-22 12:00:11,Tennessee Titans,away,0.295,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766448010,2025-12-23 00:00:10,Jacksonville Jaguars,home,0.69,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766448013,2025-12-23 00:00:13,Tennessee Titans,away,0.31,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766491210,2025-12-23 12:00:10,Jacksonville Jaguars,home,0.755,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766491214,2025-12-23 12:00:14,Tennessee Titans,away,0.245,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766534410,2025-12-24 00:00:10,Jacksonville Jaguars,home,0.77,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766534413,2025-12-24 00:00:13,Tennessee Titans,away,0.23,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766577610,2025-12-24 12:00:10,Jacksonville Jaguars,home,0.77,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766577612,2025-12-24 12:00:12,Tennessee Titans,away,0.23,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766620820,2025-12-25 00:00:20,Jacksonville Jaguars,home,0.77,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766620823,2025-12-25 00:00:23,Tennessee Titans,away,0.23,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766664010,2025-12-25 12:00:10,Jacksonville Jaguars,home,0.77,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766664013,2025-12-25 12:00:13,Tennessee Titans,away,0.23,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766707209,2025-12-26 00:00:09,Jacksonville Jaguars,home,0.77,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766707210,2025-12-26 00:00:10,Tennessee Titans,away,0.23,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766750410,2025-12-26 12:00:10,Jacksonville Jaguars,home,0.77,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766750412,2025-12-26 12:00:12,Tennessee Titans,away,0.23,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766793611,2025-12-27 00:00:11,Jacksonville Jaguars,home,0.77,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766793613,2025-12-27 00:00:13,Tennessee Titans,away,0.23,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766836811,2025-12-27 12:00:11,Jacksonville Jaguars,home,0.79,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766836813,2025-12-27 12:00:13,Tennessee Titans,away,0.21,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766880011,2025-12-28 00:00:11,Jacksonville Jaguars,home,0.765,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766880013,2025-12-28 00:00:13,Tennessee Titans,away,0.235,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766923211,2025-12-28 12:00:11,Jacksonville Jaguars,home,0.815,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766923213,2025-12-28 12:00:13,Tennessee Titans,away,0.185,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766966427,2025-12-29 00:00:27,Jacksonville Jaguars,home,0.83,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1766966430,2025-12-29 00:00:30,Tennessee Titans,away,0.17,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1767009611,2025-12-29 12:00:11,Jacksonville Jaguars,home,0.85,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1767009613,2025-12-29 12:00:13,Tennessee Titans,away,0.15,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1767052814,2025-12-30 00:00:14,Jacksonville Jaguars,home,0.865,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1767052817,2025-12-30 00:00:17,Tennessee Titans,away,0.135,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1767096011,2025-12-30 12:00:11,Jacksonville Jaguars,home,0.875,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
1767096014,2025-12-30 12:00:14,Tennessee Titans,away,0.125,18,2026-01-04,Tennessee Titans,Jacksonville Jaguars
