timestamp,datetime,team,side,probability,week,date,away_team,home_team
1758456007,2025-09-21 12:00:07,Washington Commanders,away,0.52,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758456012,2025-09-21 12:00:12,Atlanta Falcons,home,0.48,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758499206,2025-09-22 00:00:06,Washington Commanders,away,0.585,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758499209,2025-09-22 00:00:09,Atlanta Falcons,home,0.415,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758542419,2025-09-22 12:00:19,Washington Commanders,away,0.58,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758542420,2025-09-22 12:00:20,Atlanta Falcons,home,0.42,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758585610,2025-09-23 00:00:10,Washington Commanders,away,0.565,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758585611,2025-09-23 00:00:11,Atlanta Falcons,home,0.435,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758628814,2025-09-23 12:00:14,Washington Commanders,away,0.57,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758628825,2025-09-23 12:00:25,Atlanta Falcons,home,0.43,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758672007,2025-09-24 00:00:07,Washington Commanders,away,0.525,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758672017,2025-09-24 00:00:17,Atlanta Falcons,home,0.475,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758715204,2025-09-24 12:00:04,Washington Commanders,away,0.535,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758715216,2025-09-24 12:00:16,Atlanta Falcons,home,0.465,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758758408,2025-09-25 00:00:08,Atlanta Falcons,home,0.485,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758758408,2025-09-25 00:00:08,Washington Commanders,away,0.515,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758801609,2025-09-25 12:00:09,Washington Commanders,away,0.525,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758801611,2025-09-25 12:00:11,Atlanta Falcons,home,0.475,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758844806,2025-09-26 00:00:06,Washington Commanders,away,0.515,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758844808,2025-09-26 00:00:08,Atlanta Falcons,home,0.485,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758888008,2025-09-26 12:00:08,Atlanta Falcons,home,0.495,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758888013,2025-09-26 12:00:13,Washington Commanders,away,0.505,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758931206,2025-09-27 00:00:06,Atlanta Falcons,home,0.545,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758931208,2025-09-27 00:00:08,Washington Commanders,away,0.455,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758974404,2025-09-27 12:00:04,Washington Commanders,away,0.465,4,2025-09-28,Washington Commanders,Atlanta Falcons
1758974417,2025-09-27 12:00:17,Atlanta Falcons,home,0.535,4,2025-09-28,Washington Commanders,Atlanta Falcons
1759017604,2025-09-28 00:00:04,Washington Commanders,away,0.455,4,2025-09-28,Washington Commanders,Atlanta Falcons
1759017615,2025-09-28 00:00:15,Atlanta Falcons,home,0.545,4,2025-09-28,Washington Commanders,Atlanta Falcons
1759060809,2025-09-28 12:00:09,Washington Commanders,away,0.45,4,2025-09-28,Washington Commanders,Atlanta Falcons
1759060814,2025-09-28 12:00:14,Atlanta Falcons,home,0.55,4,2025-09-28,Washington Commanders,Atlanta Falcons
