timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760270404,2025-10-12 12:00:04,Washington Commanders,away,0.555,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760270413,2025-10-12 12:00:13,Dallas Cowboys,home,0.445,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760313606,2025-10-13 00:00:06,Dallas Cowboys,home,0.445,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760313615,2025-10-13 00:00:15,Washington Commanders,away,0.555,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760356809,2025-10-13 12:00:09,Dallas Cowboys,home,0.445,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760356816,2025-10-13 12:00:16,Washington Commanders,away,0.555,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760400011,2025-10-14 00:00:11,Dallas Cowboys,home,0.445,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760400016,2025-10-14 00:00:16,Washington Commanders,away,0.555,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760443216,2025-10-14 12:00:16,Washington Commanders,away,0.555,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760443222,2025-10-14 12:00:22,Dallas Cowboys,home,0.445,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760486407,2025-10-15 00:00:07,Washington Commanders,away,0.54,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760486416,2025-10-15 00:00:16,Dallas Cowboys,home,0.46,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760529611,2025-10-15 12:00:11,Dallas Cowboys,home,0.455,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760529618,2025-10-15 12:00:18,Washington Commanders,away,0.545,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760572816,2025-10-16 00:00:16,Dallas Cowboys,home,0.46,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760572821,2025-10-16 00:00:21,Washington Commanders,away,0.54,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760616025,2025-10-16 12:00:25,Washington Commanders,away,0.535,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760616026,2025-10-16 12:00:26,Dallas Cowboys,home,0.465,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760659208,2025-10-17 00:00:08,Dallas Cowboys,home,0.475,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760659213,2025-10-17 00:00:13,Washington Commanders,away,0.525,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760702422,2025-10-17 12:00:22,Dallas Cowboys,home,0.465,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760702426,2025-10-17 12:00:26,Washington Commanders,away,0.535,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760745606,2025-10-18 00:00:06,Dallas Cowboys,home,0.515,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760745609,2025-10-18 00:00:09,Washington Commanders,away,0.485,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760788805,2025-10-18 12:00:05,Dallas Cowboys,home,0.515,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760788822,2025-10-18 12:00:22,Washington Commanders,away,0.485,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760832010,2025-10-19 00:00:10,Washington Commanders,away,0.465,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760832017,2025-10-19 00:00:17,Dallas Cowboys,home,0.535,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760875214,2025-10-19 12:00:14,Washington Commanders,away,0.465,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760875215,2025-10-19 12:00:15,Dallas Cowboys,home,0.535,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760918418,2025-10-20 00:00:18,Washington Commanders,away,0.0005,7,2025-10-19,Washington Commanders,Dallas Cowboys
1760918419,2025-10-20 00:00:19,Dallas Cowboys,home,0.9995,7,2025-10-19,Washington Commanders,Dallas Cowboys
