timestamp,datetime,team,side,probability,week,date,away_team,home_team
1762689619,2025-11-09 12:00:19,Washington Commanders,away,0.54,11,2025-11-16,Washington Commanders,Miami Dolphins
1762689624,2025-11-09 12:00:24,Miami Dolphins,home,0.46,11,2025-11-16,Washington Commanders,Miami Dolphins
1762732811,2025-11-10 00:00:11,Washington Commanders,away,0.435,11,2025-11-16,Washington Commanders,Miami Dolphins
1762732814,2025-11-10 00:00:14,Miami Dolphins,home,0.565,11,2025-11-16,Washington Commanders,Miami Dolphins
1762776018,2025-11-10 12:00:18,Washington Commanders,away,0.445,11,2025-11-16,Washington Commanders,Miami Dolphins
1762776023,2025-11-10 12:00:23,Miami Dolphins,home,0.555,11,2025-11-16,Washington Commanders,Miami Dolphins
1762819217,2025-11-11 00:00:17,Washington Commanders,away,0.405,11,2025-11-16,Washington Commanders,Miami Dolphins
1762819222,2025-11-11 00:00:22,Miami Dolphins,home,0.595,11,2025-11-16,Washington Commanders,Miami Dolphins
1762862434,2025-11-11 12:00:34,Washington Commanders,away,0.41,11,2025-11-16,Washington Commanders,Miami Dolphins
1762862440,2025-11-11 12:00:40,Miami Dolphins,home,0.59,11,2025-11-16,Washington Commanders,Miami Dolphins
1762905616,2025-11-12 00:00:16,Washington Commanders,away,0.415,11,2025-11-16,Washington Commanders,Miami Dolphins
1762905618,2025-11-12 00:00:18,Miami Dolphins,home,0.585,11,2025-11-16,Washington Commanders,Miami Dolphins
1762948820,2025-11-12 12:00:20,Washington Commanders,away,0.415,11,2025-11-16,Washington Commanders,Miami Dolphins
1762948827,2025-11-12 12:00:27,Miami Dolphins,home,0.585,11,2025-11-16,Washington Commanders,Miami Dolphins
1762992015,2025-11-13 00:00:15,Washington Commanders,away,0.42,11,2025-11-16,Washington Commanders,Miami Dolphins
1762992020,2025-11-13 00:00:20,Miami Dolphins,home,0.58,11,2025-11-16,Washington Commanders,Miami Dolphins
1763035222,2025-11-13 12:00:22,Washington Commanders,away,0.415,11,2025-11-16,Washington Commanders,Miami Dolphins
1763035230,2025-11-13 12:00:30,Miami Dolphins,home,0.585,11,2025-11-16,Washington Commanders,Miami Dolphins
1763078415,2025-11-14 00:00:15,Washington Commanders,away,0.43,11,2025-11-16,Washington Commanders,Miami Dolphins
1763078418,2025-11-14 00:00:18,Miami Dolphins,home,0.57,11,2025-11-16,Washington Commanders,Miami Dolphins
1763121622,2025-11-14 12:00:22,Washington Commanders,away,0.43,11,2025-11-16,Washington Commanders,Miami Dolphins
1763121629,2025-11-14 12:00:29,Miami Dolphins,home,0.57,11,2025-11-16,Washington Commanders,Miami Dolphins
1763164818,2025-11-15 00:00:18,Washington Commanders,away,0.425,11,2025-11-16,Washington Commanders,Miami Dolphins
1763164823,2025-11-15 00:00:23,Miami Dolphins,home,0.575,11,2025-11-16,Washington Commanders,Miami Dolphins
1763208024,2025-11-15 12:00:24,Washington Commanders,away,0.425,11,2025-11-16,Washington Commanders,Miami Dolphins
1763208031,2025-11-15 12:00:31,Miami Dolphins,home,0.575,11,2025-11-16,Washington Commanders,Miami Dolphins
1763251213,2025-11-16 00:00:13,Washington Commanders,away,0.425,11,2025-11-16,Washington Commanders,Miami Dolphins
1763251215,2025-11-16 00:00:15,Miami Dolphins,home,0.575,11,2025-11-16,Washington Commanders,Miami Dolphins
1763294421,2025-11-16 12:00:21,Washington Commanders,away,0.445,11,2025-11-16,Washington Commanders,Miami Dolphins
1763294426,2025-11-16 12:00:26,Miami Dolphins,home,0.555,11,2025-11-16,Washington Commanders,Miami Dolphins
