timestamp,datetime,team,side,probability,week,date,away_team,home_team
1764028813,2025-11-25 00:00:13,Washington Commanders,away,0.495,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764028825,2025-11-25 00:00:25,Minnesota Vikings,home,0.505,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764072016,2025-11-25 12:00:16,Washington Commanders,away,0.515,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764072033,2025-11-25 12:00:33,Minnesota Vikings,home,0.485,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764115212,2025-11-26 00:00:12,Washington Commanders,away,0.41,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764115219,2025-11-26 00:00:19,Minnesota Vikings,home,0.59,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764158432,2025-11-26 12:00:32,Washington Commanders,away,0.41,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764158448,2025-11-26 12:00:48,Minnesota Vikings,home,0.59,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764201614,2025-11-27 00:00:14,Washington Commanders,away,0.46,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764201625,2025-11-27 00:00:25,Minnesota Vikings,home,0.54,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764244821,2025-11-27 12:00:21,Washington Commanders,away,0.265,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764244839,2025-11-27 12:00:39,Minnesota Vikings,home,0.735,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764288013,2025-11-28 00:00:13,Washington Commanders,away,0.465,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764288023,2025-11-28 00:00:23,Minnesota Vikings,home,0.535,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764331220,2025-11-28 12:00:20,Washington Commanders,away,0.455,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764331239,2025-11-28 12:00:39,Minnesota Vikings,home,0.545,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764374418,2025-11-29 00:00:18,Washington Commanders,away,0.46,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764374432,2025-11-29 00:00:32,Minnesota Vikings,home,0.54,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764417621,2025-11-29 12:00:21,Washington Commanders,away,0.465,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764417639,2025-11-29 12:00:39,Minnesota Vikings,home,0.535,14,2025-12-07,Washington Commanders,Minnesota Vikings
1764460813,2025-11-30 00:00:13,Washington Commanders,away,0.46,14,2025-12-07,Washington Commanders,Minnesota Vikings
