timestamp,datetime,team,side,probability,week,date,away_team,home_team
1766361612,2025-12-22 00:00:12,Washington Commanders,away,0.325,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766361618,2025-12-22 00:00:18,Philadelphia Eagles,home,0.675,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766404812,2025-12-22 12:00:12,Washington Commanders,away,0.33,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766404818,2025-12-22 12:00:18,Philadelphia Eagles,home,0.67,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766448014,2025-12-23 00:00:14,Washington Commanders,away,0.345,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766448021,2025-12-23 00:00:21,Philadelphia Eagles,home,0.655,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766491215,2025-12-23 12:00:15,Washington Commanders,away,0.295,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766491224,2025-12-23 12:00:24,Philadelphia Eagles,home,0.705,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766534414,2025-12-24 00:00:14,Washington Commanders,away,0.295,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766534421,2025-12-24 00:00:21,Philadelphia Eagles,home,0.705,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766577613,2025-12-24 12:00:13,Washington Commanders,away,0.295,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766577620,2025-12-24 12:00:20,Philadelphia Eagles,home,0.705,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766620824,2025-12-25 00:00:24,Washington Commanders,away,0.295,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766620830,2025-12-25 00:00:30,Philadelphia Eagles,home,0.705,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766664014,2025-12-25 12:00:14,Washington Commanders,away,0.295,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766664022,2025-12-25 12:00:22,Philadelphia Eagles,home,0.705,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766707211,2025-12-26 00:00:11,Washington Commanders,away,0.295,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766707215,2025-12-26 00:00:15,Philadelphia Eagles,home,0.705,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766750413,2025-12-26 12:00:13,Washington Commanders,away,0.295,18,2026-01-04,Washington Commanders,Philadelphia Eagles
1766750418,2025-12-26 12:00:18,Philadelphia Eagles,home,0.705,18,2026-01-04,Washington Commanders,Philadelphia Eagles
